No.	Gloss	Proto-Tai
693	bathe, to	*ʔaːp D
694	teach, to	*soːl A
695	rest, to	*bak D
696	wait, to	*craː C
697	be left over, to	*ʰlɯə A
698	leak, to	*rwoː B
699	awaken (someone), to	*plok D
700	wake up, to	*k.tɯːn B
701	grow, to; rise, to	*ʰmaː C
702	shrink, to	*ʰrot D
703	disappear, to	*ʰrwɤːj A
704	die, to	*p.taːj A
705	kill, to	*qaː C
706	expose to the sun, to	*p.raːk D
707	hang up, to	*qweːn A
708	hang down, to	*hoːj C
709	smear, to	*daː A
710	lay (a cloth, etc.) across, to	*baːt D
711	drive away, to	*k.rap D
712	chase, to	*laj B
713	be finished, to	*leːw C
714	to commission	*ʑaɰ C
715	entrust, to	*ʰwaːk D
716	pronoun, 1s (weak)	*kuː A
717	pronoun, 1s (strong)	*kaw A
718	pronoun, 2s (weak)	*mɯŋ A
719	pronoun, 2s (strong)	*maɰ A
720	pronoun, 3s (weak)	*mɯn A
721	pronoun, 3s (strong)	*man A
722	pronoun, 1p	*raw A
723	one	*nɯːŋ B
724	two	*soːŋ A
725	three	*saːm
726	four	*siː B
727	five	*haː C
728	six	*krok D
729	seven	*cet D
730	eight	*peːt D
731	nine	*kɤw C
732	hundred; string, to	*roːj C
733	single, only one	*ɗiəw A
734	pair	*guː B
735	how many, several	*kiː C
736	all	*daŋ A
737	many, much	*ʰlaːj A
738	little, few	*ʰnoːj B
739	one or so, any	*sak D
740	half	*grɤŋ B
741	each other, together	*kan A
742	other	*ʔɯːn B
743	measure from thumb to fingertip	*ɣɯːp D
744	bite (n.), speech	*gam A
745	classifier for things	*ʔal A
746	cord, string	*saːj A
747	classifier for long, thin, object	*sel C
748	classifier for tools	*mwaːk D
749	litter (of young)	*groːk D
750	time (classifier)	*baj A
751	name of first month	*ciǝŋ A
752	last (year)	*klaːj A
753	daytime	*ŋwan A
754	night	*ɣɯːn A
755	day	*mwɯː C
756	morning, early	*ɟaw C
757	night	*ɣam B
758	late at night	*ɗɯk D
759	meal, early	*ŋaːj A
760	meal, late	*C̬.lwiːŋ A
761	meal, evening	*ɟm̩.raw A
762	day before yesterday	*zɯːn A
763	yesterday	*ŋwaː A
764	tomorrow	*ɟm̩.ruk D
765	day after tomorrow	*C̬.rɯː A
766	year	*piː A
767	upstream, above	*ʰnɯə A
