Chinese gloss	Language	Word	Source	Page no.
秧子	Yao (Naxi)	jɑ²¹³ (jɑ1)	Long (1984)	247
秧苗	Yao (Naxi)	jɑ⁵³ (jɑ3)	Long (1984)	246
稀	Dong (Duolong)	maŋ⁴⁵	Suining County Gazetteer (1997)	672
穿、戴	Dong (Duolong)	tan³³	Suining County Gazetteer (1997)	672
穿山甲	Dong (Duolong)	ləŋ³³	Suining County Gazetteer (1997)	671
窄	Dong (Duolong)	kwaːŋ³³	Suining County Gazetteer (1997)	672
窝	Dong (Duolong)	ȶəu³³	Suining County Gazetteer (1997)	672
竹子	Dong (Duolong)	pan⁴⁵	Suining County Gazetteer (1997)	671
竹子	Dong (Duolong)	pan⁴⁵	Suining County Gazetteer (1997)	671
竹子	Yao (Naxi)	pɐn²¹³ (pɐn1)	Long (1984)	244
笋	Dong (Duolong)	naːŋ¹¹	Suining County Gazetteer (1997)	671
笑	Dong (Duolong)	ko⁴⁵	Suining County Gazetteer (1997)	672
第一	Yao (Lianmin)	ti²⁵i²¹³	Suining County Gazetteer (1997)	676
筋	Yao (Naxi)	õn²¹³ (õn1)	Long (1984)	252
答	Dong (Duolong)	ɕaːn⁴⁵	Suining County Gazetteer (1997)	672
筷子	Dong (Duolong)	sio³³	Suining County Gazetteer (1997)	672
算	Yao (Lianmin)	suaŋ⁵²	Suining County Gazetteer (1997)	676
簸箕	Yao (Naxi)	loŋ⁵³ (loŋ3)	Long (1984)	245
米饭	Yao (Naxi)	hɑu³¹ (hɑu4)	Long (1984)	248
糖	Yao (Naxi)	tɑn¹¹ (tɑn2)	Long (1984)	251
糠	Yao (Naxi)	pø³³ (pø6)	Long (1984)	244
糠	Yao (Naxi)	pɑ³³ (pɑ6)	Long (1984)	248
糯禾草	Cao Miao (Tongdao)	ȵaŋ⁵⁵	Tongdao Ethnic Gazetteer	231
红	Yao (Lianmin)	nen⁵⁵	Suining County Gazetteer (1997)	676
红	Dong (Duolong)	ja⁴⁵³	Suining County Gazetteer (1997)	672
红	Yao (Naxi)	lõŋ³⁵ (lõŋ5)	Long (1984)	251
纸	Yao (Naxi)	tɕy⁵³ (tɕy3)	Long (1984)	245
纸	Yao (Naxi)	tɕi⁵³ (tɕi3)	Long (1984)	252
绿、青	Yao (Lianmin)	tsʰen⁵⁵	Suining County Gazetteer (1997)	676
缝	Dong (Duolong)	ȶip³³	Suining County Gazetteer (1997)	672
羊	Yao (Lianmin)	tso²¹³	Suining County Gazetteer (1997)	675
羊	Dong (Duolong)	lje³³	Suining County Gazetteer (1997)	671
羊	Yao (Naxi)	tsɑ²¹³ (tsɑ1)	Long (1984)	252
老虎	Yao (Naxi)	men³¹ (men4)	Long (1984)	248
老虎	Yao (Naxi)	mõn³¹ (mõn4)	Long (1984)	252
老鼠	Yao (Lianmin)	lo³³lou⁵²	Suining County Gazetteer (1997)	675
老鼠	Dong (Duolong)	no³³	Suining County Gazetteer (1997)	671
耳朵	Dong (Duolong)	ka⁴⁵	Suining County Gazetteer (1997)	671
耳朵	Yao (Naxi)	kʰjɑ²¹³ (kʰjɑ1)	Long (1984)	247
耳朵	Yao (Naxi)	kjɑ²¹³ (kjɑ1)	Long (1984)	252
聋	Dong (Duolong)	lə³⁵	Suining County Gazetteer (1997)	672
肉	Yao (Lianmin)	lan³¹	Suining County Gazetteer (1997)	675
肉	Dong (Duolong)	naːn³¹	Suining County Gazetteer (1997)	672
肉	Yao (Naxi)	ne³¹ (ne4)	Long (1984)	247
肉	Yao (Naxi)	ne³¹ (ne4)	Long (1984)	251
肚子	Dong (Duolong)	loŋ¹¹	Suining County Gazetteer (1997)	671
肝	Yao (Naxi)	soŋ¹¹pje³¹ (soŋ2pje4)	Long (1984)	245
肝	Yao (Naxi)	sen²¹³ (sen1)	Long (1984)	251
肠	Cao Miao (Tanghua)	sai³	Shi (2012)	
肠子	Dong (Duolong)	saːi³³	Suining County Gazetteer (1997)	671
肠子	Yao (Naxi)	tsɑ⁵³ (tsɑ3)	Long (1984)	246
肠子	Yao (Naxi)	tsɑ³¹ (tsɑ4)	Long (1984)	252
肥	Yao (Naxi)	pu¹¹ (pu2)	Long (1984)	244
肩	Cao Miao (Tanghua)	sa¹	Shi (2012)	
肩	Yao (Lianmin)	sɔ³³	Suining County Gazetteer (1997)	675
肺	Dong (Duolong)	pup³³	Suining County Gazetteer (1997)	671
肺	Yao (Naxi)	fei³⁵ (fei5)	Long (1984)	252
胆	Dong (Duolong)	taːm³³	Suining County Gazetteer (1997)	672
背	Cao Miao (Tanghua)	ɐm⁵³	Shi (2012)	
背	Cao Miao (Tanghua)	qɐm³³	Shi (2012)	
背	Cao Miao (Tanghua)	pe⁴²	Shi (2012)	
背	Cao Miao (Tanghua)	kəm³³	Shi (2012)	
背	Cao Miao (Tongdao)	pe³³	Tongdao Ethnic Gazetteer	232
胡子	Dong (Duolong)	mut⁵³	Suining County Gazetteer (1997)	671
胡子	Yao (Naxi)	mjɑu³¹ (mjɑu4)	Long (1984)	247
胡须	Yao (Naxi)	mjɑu³¹ (mjɑu4)	Long (1984)	251
胸	Yao (Lianmin)	ɕio⁵⁵	Suining County Gazetteer (1997)	675
脆	Cao Miao (Tanghua)	jim⁵³	Shi (2012)	
脆	Cao Miao (Tanghua)	jim³⁵	Shi (2012)	
脏	Dong (Duolong)	wa⁵³	Suining County Gazetteer (1997)	672
脚	Dong (Duolong)	tin⁴⁵	Suining County Gazetteer (1997)	671
脚	Yao (Naxi)	ti²¹³ (ti1)	Long (1984)	245
脚	Yao (Naxi)	tin²¹³ (tin1)	Long (1984)	252
脱	Dong (Duolong)	tot³³	Suining County Gazetteer (1997)	672
脸	Dong (Duolong)	na³³	Suining County Gazetteer (1997)	671
脸	Dong (Duolong)	na³³	Suining County Gazetteer (1997)	671
脸	Yao (Naxi)	nɑu⁵³ (nɑu3)	Long (1984)	245
脸	Yao (Naxi)	nɑu⁵³ (nɑu3)	Long (1984)	252
腻	Cao Miao (Tanghua)	mən⁴²	Shi (2012)	
腻	Cao Miao (Tanghua)	win⁵⁵	Shi (2012)	
自己	Dong (Duolong)	so³³aːk⁴⁵	Suining County Gazetteer (1997)	673
臭	Dong (Duolong)	ȵən⁴⁵	Suining County Gazetteer (1997)	672
臭	Yao (Naxi)	ȵəu³³ (ȵəu6)	Long (1984)	246
臭虫	Dong (Duolong)	iŋ⁴⁵	Suining County Gazetteer (1997)	671
舅舅	Yao (Lianmin)	tɕaok³¹	Suining County Gazetteer (1997)	675
舌头	Dong (Duolong)	ma¹¹	Suining County Gazetteer (1997)	671
船	Yao (Naxi)	lɑ²¹³ (lɑ1)	Long (1984)	245
花	Cao Miao (Tanghua)	fa³⁵	Shi (2012)	
花	Cao Miao (Tanghua)	wa³⁵	Shi (2012)	
芽	Dong (Duolong)	ŋe¹¹	Suining County Gazetteer (1997)	672
苦	Yao (Lianmin)	ken³¹	Suining County Gazetteer (1997)	676
苦	Dong (Duolong)	am¹¹	Suining County Gazetteer (1997)	672
茅扦	Yao (Lianmin)	kã²¹³	Suining County Gazetteer (1997)	675
