English gloss	Chinese gloss	Proto-Miao
silver	銀子	*ʑin A
sinew	筋	*ʂoi B
(birds) sing	鳥叫	*ɢɑ A
to sink	沉	*dɔn A
sister-in-law	嫂嫂	*ȵeŋ A
six	六	*tɭ̥ə C
skin	皮	*teu B
skin ulcer	瘡	*tsheŋ A
skirt	裙子	*tin A
sky	天	*ɴɢlwon A
slanting	斜	*ɢei A
slanting	歪	*ɢei A
to sleep	睡	*pu C
to sleep	睡覺	*ɴql A
small	小	*ʔʑə C
to smell	嗅	*m̥n̥in C
to smell	嗅	*tʂu C
to smell	動物嗅	*m̥n̥in C
to smoke	燻	*ȵtɕho C
to smoke	吸煙	*hɑu D
smoke from kitchen chimney	炊煙	*ȵtɕho C
smooth	光滑	*mblin C
snail	蝸牛	*ɢwju A
snake	蛇	*ʔneŋ A
to snap	綫斷	*ton C
snow	雪	*mptson C
to soak (cooked rice in soup or water)	泡飯	*ɳtʂæ C
soft	柔軟	*mlai C
soft membrane (inside the eggshell)	蛋軟膜	*phloi C
solid	結實	*ɖɔu A
son	兒子	*ton A
son-in-law	女婿	*ʔvou B
son’s wife	媳婦	*ʔȵeŋ A
sore	痛	*ʔmɔŋ A
sorghum	高粱	*ɳtʂɔu D
soul	魂	*bɭa A
sound	聲音	*fʂɔu A
the sound of bowl or dish falling on the floor	碗碟落地聲	*ŋk B
the sound of chewing beans	嚼豆聲	*ŋkeu B
soup	湯	*kɑ B
sour	酸	*ʂə A
to sow (seeds)	播種	*ptʂæ A
soy	黃豆	*pou B
span	拃	*qɭo C
span	庹	*ɢɭeŋ A
spinning wheel	紡車	*tʂhɑu A
to split	劈	*phtshe A
to split	劈	*phɑu C
to spoil	壤了	*bɑu B
to spread out	攤開	*nthɑu B
to sprinkle	潑水	*ȵtɕhɔu B
to sprinkle	洒水	*mphuŋ C
to sprinkle	撒土	*mphuŋ C
to splash	潑水	*ȵtɕhɔu B
stable	牛圈	*ŋgɔu A
to stand	站立	*ɳdʐæ C
to stand (up)	站起來	*ʂeu B
star	星	*qon A
to steal	偷	*ȵæn C
steam	水汽	*poŋ C
to steam	蒸	*tɕon A
steel	鋼	*tshæ A
steep	陡	*ntshoŋ A
step	歩	*ɖo A
to step on	蹬	*dɑ D
to step on	踩	*dɑ D
sticking	臭	*tʂu C
stomach	腹部	*tɕhoi A
stomach	胃	*pleŋ A
stone	石頭	*ʔvʐæ A
straight	直	*ȵtɕɑŋ A
straw or palm-bark rain cape	蓑衣	*si A
strength	力氣	*vʐo C
to stretch	伸	*ɕoŋ A
to stroke	撫摩	*phlu C
to stumble	跌	*ɳdʐeu D
to suck	蚊子吸血	*ntsei D
sun	太陽	*n̥on A
to support (a family)	養一家人	*ʑon C
to swallow	呑(一)	*ɴɢɔn B
to swallow	呑(二)	*ɴqeu C
to sweep	掃地	*tɕhæ A
sweet	甜	*qeŋ A
sweet-smelling	肉香	*qeŋ A
to swell	腫	*ʔɔn C
table	桌子	*ɖuŋ A
tael	一兩銀子	*lɑŋ B
tail	尾巴	*tu B
taro	芋頭	*veu C
a kind of taro	老虎芋	*veu C
tasteless (not salty)	菜淡	*dʐɑ C
tea	茶	*ɟi B
to tear	撕布	*qɭɑu C
to tear	撕肉	*qɭɑu C
ten	十	*ɟə D
ten thousand	萬	*vɑŋ C
that	那(更遠指)	*ʔe B
there is	有	*mai A
thick	秧密	*tɑ A
thick	厚	*tɑ A
thick	粥稠	*ɲɟuŋ C
thin	綫細	*ʂuŋ A
thin	痩	*ndzoi C
thin	薄	*ȵæn B
thin bamboo strip	篾條	*ȵtɕɔ C
thing	事情	*ɳon D
thirsty	渴(一)	*ɴqhɑ A
