English gloss	Part of speech	Guiqiong	Chinese loanword
sow in drill	v.	ʨiɐ	
sowing season	npr.	litʰɔtsʰɔgɐŋ	
soybean	n.	ɲiɔ	
soybean bread	n.	ɲiɔb’ɔlɔ	
soybean curd	n.	liki; lɛiki	Ancient Sichuan Chinese Líqí 黎祁
soybean flour	npr.	ɲiɔpʰɛ	
the skin of soybeans	npr.	ɲiɔpɐ	
white soybean	n.	ɲiɔʂɔ’mɐ	
spade	n.	tʂʰuɐntsɛi	
span of time	n.	nɐŋtʰə	
sparrow	n.	tʂʰi	
sparrow	n.	tsʰitsʰi	
sparse	adj.	ɖɐŋ	
spawn (frog or toad)	n.	bɛitʰɐ	
speak Chinese	v.	ʥiɛ̃dʐubɛi	
speak concisely	vpr.	dzɐŋɕiɛ niɐntsɛilɛɕiɛ	
speak in dreams	vpr.	wuməŋgugɛʨʰiɛɕiɛ	
speak out one’s mind	v.	jidigi’wuwuɕiɛ	
speak out	v.	dzɐŋɕiɛɕiɛ	
speculative mood marker		-əmu	
speech	n.	ɕiɛ ’wu	
speech	n.	dzɐŋɕiɛ	
spider	n.	dʐɔgɔʐɔ	
spine	n.	gɛiʐu	
spiral marrow	n.	gɛitʰɐ	
spit out	v.	ʁ’ɐ	
spit	v.	χɐ	
splash	v.	kʰo’wu	
splendid attire	n.	guʨiɐntʂʰipɐ	
split	v.	b’ ɐ	
spongy	adj.	dʐi	
spot	n.	ŋɐtsi	
Spring Festival	n.	lisɛi	
spring flowers	npr.	’jukʰumɛmintɔ	
spring	n.	’jukʰu	
spring	n.	’jutə	
spring	n.	ɕitə	
springtime	n.	ɕitəsɐŋ	
squander	v.	tʂʰuɐlɐbɛi	
square or triangle pouch	n.	zuʐi	
squat	v.	mikotsɔ	
squirm	v.	tʂʰotʂʰomu	
stack up	v.	tʰũbɛilɛʨʰiu	
stack	v.	βu	
stamp one’s feet	v.	gɐdʐuɐi’wu	
stand on ceremony	vpr.	dʐuɐnbubɛi	
stand on top of the bench	v.	pɐntəŋjitʂʰɐ	
stand on top of, step on	v.	tʂʰɐ	
stand up	pder.	tʰujɔ	
stand	v.	jɔ	
standing on ceremony (of people)	adj.	dʐuɐnbutʂʰitʂʰi	
star anise	n.	χoχiɐŋ	cf. Chinese huíxiāng 茴香
star	n.	ʁɛitʂi	
start working	v.	gɐŋtsubɛi	
static perfective marker		-lɛjɐn	
stature	n.	dzətʰɐŋ	
steaks	n.	nɐŋʨiɛɕi	
steal	v.	mũ	
steam buns with vegetable stuffing	vpr.	dzɐŋb’ɔlɔkʰu	
steam	n.	’lɐŋpu	
steam	v.	kʰu	
steamed corn-flour pancake	n.	tʰɐŋpɐtsi	cf. Chinese Tāngbāzi 汤巴子
steel	n.	kɐŋ	
steelyard	n.	kuɐn	
steep	adj.	’lɐ̃χɐŋ	
steep	adj.	lɐ̃hɐŋ	
steep	adj.	βɛijɐ	
stick out	v.	ɕiɔ	
sticky paste used as glue	n.	βɐ	
still	adv.	’mɛ	
still	adv.	ɐsi; χɐʂi	
still	adv.	hɐʂi	
still	adv.	χɐʂi	
sting	n.	tsɐŋdʐuɐŋ	
sting	v.	di	
sting	v.	tsɐŋdi	
a bite	n.	dɐtsɐŋdi	
stir fry	v.	ʨʰiɔ	
stir up trouble	v.	ligəlu	
stir	v.	kʰuitʂʰɐ	
stir	v.	wuzuʐu	
stomach	n.	pɐ	
stomp	v.	gɐdʐuɐi’wu	
stone	n.	ʁ’uŋpʰə	
small stones	n.	ʁ’uŋpʰəpʰɛpʰɛtsɛi	
sandy stone		ʁ’uŋpʰəpʰɛpʰɛtsɛi	
a boundary stone	n.	χitʂʰɔ	
stonemason	n.	ʁ’uŋpʰədɐ̃ ’wu	
stonemason	n.	ʁ’uŋpʰəgo’wu	
stop up	v.	ʂui; sui	
stop	v.	dʐuɛ	
stop working	v.	ʐɐsubɛi	
store up	v.	bɐŋtʰəu	
storey	n.	tsʰəŋ	cf. Chinese Céng 层
story	n.	dʐu	
straight	adj.	ʂu	
strain	v.	tʂʰɐ	
stranger	npr.	’mɐmɛsimɛmũ	
strategy	n.	’lotʂuɐn	
straw shoes (Sìchuān 四川 Chinese cǎoxié 草鞋)	n.	tsʰɐuχɐi	
strawberry	n.	gugusi	
street	n.	kʰiɐʐə	
streets	n.	kʰiɐlhɐ	
strength	n.	ʂimu	
strength	n.	simu; ʂimu	
strengthen	v.	jitɐŋku	
strike into pieces with pestle	v.	ʨʰiuŋ; tʂʰuŋ	
strike	v.	dɐ̃	
strike with an effort	v.	simubɛilɛ w’udɐ̃	
strike with elbow	v.	kʰəputʂonɐŋʨʰiuŋ	
string	n.	ʐɐnkʰɐ	
stroll	v.	suɐn	
strong (of external force)	adj.	dzɐn	
strong	adj.	’liŋlũhɐŋ	
strong	v.	zubugukɔ	
stubborn	adj.	ʑo	
student	n.	so’mə	
study	n.	ɬəʐuŋ	
stump	n.	βɐgui	
stupid	adj.	ɖɐ	
stupid	adj.	mɐdʐɐdʐɐ	
succeed	v.	dʐi	
such	adv. pron.	du35	
such matter	pron.	jikipʰə	
such	pron.	jiku	
suddenly	adv.	jɐn’mɛiʨiɐŋ	
suffer from chronic cough or tuberculosis	v.	dzɛiʨʰi	
suffer from diarrhoea	v.	pɐɕi	
suffer from diarrhoea	v.	tʂʰuɐʂiʨʰi	
suffer from drought	v.	mɐŋsu	
suffer	v.	pʰɔ	
sufferer of wanderlust	n.	tʂʰiʨʰiupʰɔ’wu	
suffering from a sore throat	adj.	sɐŋuɐ	
suffering from stroke	adj.	tʂʰotʂʰomɐkɔ	
suffuse	v.	wutʂuŋ	
sugar	n.	d’ɐŋ	cf. Chinese Táng 糖
suitable	adj.	ʐɐ̃; ʐɐn	
sumac tree	n.	χənsɐn	
summer	n.	dɐnkʰu	
summer	n.	dɐntə	
summer nights	npr.	dɐntə mɛ mɐŋgɛitsɛi	
summit of Màibēng mountain	n.	jɐŋdzɐŋ	
sun	n.	mintsʰə	
sunflower	n.	yu’mɛmintɔ	
sunny	adj.	ʐui	
sunset clouds	n.	gɐ’li mintsʰə	
sunset glow	n.	gɐ’li mintsʰə	
sunshine (lit. the foot of the sun)	n.	mintsʰəgɐ	
supper (chǎngmǎ)	n.	dʐi	
supper	n.	dzi	
support somebody with one’s hand or arm	v.	ɕiɐn	
supreme leader of Buddhism	n.	kʰɐnmu; kʰɐŋβu; kʰɐnbu	
supreme leader of Buddhism	n.	ʨʰydʐiʥiɔbu	
supreme leader of Buddhism in India	n.	ʥiɔgəʨʰydʐiʥiɔbu	
surface	v.	tʂʰuɐi; tʂʰuɛ	
surpass, transcend	v.	ʈhɐ	
swaddling clothes	n.	ʨiɐtʰɐn	
swallow	n.	dʐ ’əgɔ	
swallow	n.	tʂʰəgo	
swan	n.	kɛiʐikuɐŋʐɐŋ	
sweat	n.	φutʂi	
sweater	n.	məji	
sweep	n.	ʨʰiɐ’mu dɐʨʰiɔ	
sweep	v.	ʨʰiɐ	
sweep the floor	v.	ʥ’iɐŋʨʰiɐ	
sweet	adj.	kʰuɐ	
sweet food	n.	kʰuɐ’wu	
sweet potato flour	n.	ʥiɔ’ləupʰɛ	
sweet potato	n.	ʥiɔ’ləu	
swell	v.	ʁɐŋ	
swelling on the skin	n.	tʂuɐtɐtɐ	cf. Chinese Gēdá 疙瘩
swim	v.	tʂĩtʂi	
swing	v.	ʂuɐi	
swish	v.	ʂuɐi	
sword	n.	dʐɛi	
table	n.	tʂuətsɛi	
tadpole	n.	bɛiʥuətsi	
tail (the lower end) of a field	n.	dʐ ’ɛiŋɔ	
tail	n.	mikuɛ	
tailor	n.	dz’ɛwɛkʰui’wu; dz’ɛwɛg’ui’wu	
take aim	v.	sɐŋ	
take care of children	vpr.	ɛ’lɛtsɛiʥiɔ	
take care of	v.	niɐnʥiɔbɛi	
take charge of, take care of	v.	kuɐn	cf. Chinese guǎn 管
take down	pder.	mikɐ	
take it easy to say	vpr.	səŋʐɔtʰɐpʰɔlɛɕiɛ	
take it here	pder.	jĩguɐn	
take off upper garment	vpr.	dz’ɛwɛwutɛ	
take offense	v.	zibuzu	
take out	v.	wubuku	
take shelter from the rain	vpr.	dz’ ɐŋnɐ	
take	v.	ʨʰiu	
talk about something openly	vpr.	dzɐŋɕiɛkutʰɐnku	
talk about something over and over	v.	ɕiɛʂuɕiɛbɔbɛi	
talk	v.	dzɐŋɕiɛbɛi	
tall	adj.	kʰɔbudɐ	
tall adj.	v.	tʰəu; ʈhəu	
tall people	n.	kʰɔbudɐ’wu	
target	n.	βɐ̃	
taste bitter	v.	kʰimu	
taste sweet	v.	kʰuɐ’wu	
taste	v.	ʂɐŋɬə	
tasteless	adj.	dʐəmɛ̃dɛmɛ̃	
tax	n.	liʨi	
tea (before it is served with water)	n.	ʥ’iu	
tea and drinks	n.	tsĩʥ’iɐ	
teach somebody a lesson by hitting	v.	dɛtʰɛ̃ dɐ̃	
teach someone a lesson by hitting	v.	tɛ̃tsɛidɐ̃	
teach	v.	tsɐn	
teacher	n.	gɛikɐn	
teacher	n.	ɬopɐn	
tear apart	v.	wuʥiku	
tear each other’s clothes	vpr.	dz’ɛwɛguɐnguɐnbɛi	
tear each other’s clothing	v.	ɕiɕibɛi	
tear	v.	pʰɛ	
telic Aktionsart auxiliary		kɔ	
tell stories to many people	v.	lũ’mindʐĩ pɛ	cf. Chinese Bǎilóngménzhèn 摆龙门阵
tell stories	v.	dʐuɕiɛ	
temper	n.	pʰiʨʰi	
temperament	n.	gəʨi	
temple	n.	ɬəkʰuɐŋ	
temple	n.	zə̃gu	
temporal order	n.	ditsʰi	
ten	n.	dʐi	
ten li 里 (about five kilometres)	npr.	lhi’wusiʨiɐ	
ten million	n.	sə’jə	
ten months	npr.	si’li	
tenth day of a month	npr.	sidʐuɐŋ	
tenth time	npr.	sitʰɐngəu	
ten thousand	n.	kʰɔ	
ten thousand	n.	tʂʰikʰuʨiɐ	
ten thousand	num.	dɐkʰɔ	
ten Yuán	npr.	sipɐ	
tent	n.	’jə	
terribly	adv.	gɛmɛhɛ	
testis	n.	dɛ’luŋ	
than	pos.	wɐn’jɐn	
thangka	n.	tʰɐŋkɛi	
thank	v.	gɐlhɐdzi;gɐlhɐdʐi	
that	dem.	jiki	
that man	npr.	ɳipɛi	
that thing	pron.	jikipʰə	
thaw	v.	gu	
marry	v.	kʰu’wokʰuɐi	
their family	pron.	Dugu	
then	adv.	ɐ; ɐ’li; jikigɐŋʨiɐŋ	
there	adv.	jikə	
these	pron.	dətsi; dətʂi; dɛiɲiɐ	
they (plural third person exclusive pronoun)	pron.	Dugu	
they (plural third person inclusive pronoun)	pron.	dutsɛi	
thick (of objects not round)	adj.	jɐ	
thick	adj.	ɲɐndɐŋ; niɐntɐŋ	
thick and viscous (liquid)	adj.	sɔsɔ	
thick corn paste boiled in water to be eaten with sauerkraut soup corn flour paste cooked in boiling water, and then removed to sauerkraut soup	n.	b’ũ	
thick loop bridge ties the two sides of a river for ferrying or the delivery of goods	n.	niɐntʰɐ	
thick	n.	niɐntɐŋ	
thief	n.	tʂʰuɐnbu; tʂʰuɐŋbu	
thigh	n.	kuɐ	
thin	adj.	dʐiʂɐtsɛi	
thin	adj.	g’uɐndʐitsɛi	
thin maize pancake	n.	tʰə’lə	
the sick child	n.	ʨʰĩɲɐmɛɛ’lɛtsɛi	
thing	n.	kʰɐ’wu	
things	n.	bɛi’libəʐi	
things of the same quality	n.	dʐũdʐũ	
think of	v.	jĩdigi	
think	v.	dɛigi	
third day of a month	npr.	sɐŋdʐuɐŋ	
third generation	npr.	miʐəsɐŋtʂɐŋ	
third time	n.	sɐntʰɐngəu	
third year from this year	n.	ɕihi	
third floor of a Guìqióng building with half balcony and half offering place to serve god	n.	dʐugui	
upstairs	n.	dʐugui	
thirsty	adj.	ji	
thirteen	num.	dʑiusɐŋ	
thirteenth day of a month	num.	sɛisɐŋ	
thirtieth day of a month	npr.	nɐŋtu	
thirty	num.	sɐŋʥi	
thirty	num.	sɐŋtʂʰi	
thirty-eight	num.	sɐŋtʂʰizədʑiɛ	
thirty-five	num.	sɐŋtʂʰizə’ŋə	
thirty-four	num.	sɐŋtʂʰizəʐi	
thirty-nine	num.	sɐŋtʂʰizəgɛi	
thirty-one	num.	sɐŋtʂʰizɐdzi	
thirty-seven	num.	sɐŋtʂʰizədɐn	
thirty-six	num.	sɐŋtʂʰizədʐu	
thirty-three	num.	sɐŋtʂʰizəsɐŋ	
thirty-two	num.	sɐŋtʂʰi zɐɳi	
this	dem.	dɛi	
this evening (said when the day has turned into night)	npr. adv.	bɛiʐi mɐŋgɛitsɛi; bɛiʐi mɐŋɲitsɛi	
this evening	n. adv.	ʂiʐɐŋmɐŋgɛitsɛi; ʂiʐɐŋmɐŋɲitsɛi	
this evening	npr. adv.	ʨʰɐ’i mɐŋgɛitsɛi	
this time	n:qual.	dɛitʰɐn	
this year	n.	tʂʰiʐɐŋ	
thistle	n.	zɛzɛ	
the first time	n.	tʰohotʰɐn	
thorn	n.	dzigɐ	
thorough and perfect	adj.	sũtsʰɐŋ	
those who have little	n.	mɛ̃’wu	
though	conj.	bɛimɛ	
though	conj.	tsilə	
thought	n.	sɐŋluŋ	
thoughtful	adj.	dzɐndʐu	
thoughtless	n.	kʰymɛ’wu	
thousands	num.	tuŋtʂʰɐtʂʰitʂʰɐ	
thread a needle	v.	’wɐn	
thread	n.	ʂiʨiɐ	
thread, filament, wire, string	n.	ʑ’iɐntsi	cf. Chinese Xiànzi 线
three days ago	n.	ɖoʁoniɛ	
three	n.	sɐŋ	
three armfuls	num.	sɐŋʁ’ɐŋ	
three books	npr.	sɐŋtʰə	
three days	npr.	sɐŋni	
three hundred	num.	sɐŋdʑiə	
three thousand	num.	tuŋtsʰusɐŋʥiɐŋ	
three months	npr.	sɐŋ’li	
three Yuán	npr.	sɐŋpʰɐ	
throat	n.	’wutʂʰɔ	
throw away	v.	wuʥiɐŋ	
throw dices	v.	sɐitsiŋuɐ̃	
throw up	v.	ʁ’ɐ	
throw	v.	ʂuɐi	
thumb	n.	ko’nydɐ’wu’ny	
thunder	n.	mɐŋʁɐ’wu	
thunder	n.	tʰɔ	
Tiānquán 天全	name.	ʂɔpɛi	
Tibetan alpine horns resembling the Alphorn	n.	gəduŋ	
Tibetan eared pheasant (Crossoptilon harmani)	n.	ʥiɔ’wɐŋ	
Tibetan language	n.	bɛikɛ	
Tibetan	n.	bɛi	
Tibetan New Year	n.	bɛi’lisɛi	
tickle	v.	gɛi’litsɛipʰɔ’wu	
tie up	v.	jiʂiʂi	
tie	v.	sɐ	
tie	v.	tʂʰɐ	
tiger	n.	tɐ	
tight	adj.	tɐŋ	
tile	n.	wɐʁə	
till the land	v.	ʥiɐ̃dʐu	
tilt	pder.	Jiju	
tilt	v.	ju	
time measure of two hours	n.	tʂʰitsʰəu; tʂʰitʂʰəu	cf. Chinese Shíchén 时辰
time	n.	ʐɐ	
a period of time	n. adv.	dɐpʰɔ	
a long time time-consuming	adj.	tʰɔ	
tingling	adj.	ʁ’u’wus	
tingling	adj.	βuʐidə	
tip	n.	zɛzɛ	
tip	pder.	jiju	
tip of the fingers	n.	ko’nywɐn’jɐntsɛi	
to go	v.	ji	
to remove the peel	vpr.	pɐpɐwuʂi	
to tear off the peel downwards	vpr.	pɐpɐmiʂi	
toad	n.	bɛibu	
toast song	n.	liŋuɐn’wu	
tobacco	n.	dz’ɐnχɐn	
tobacco pouch attached to a pipe	n.	tulhə; tuʐə	
today	adv.	ʨʰiɐ’i	
today	n. adv.	ʂiʐɐŋ	
toe	n.	gəny; ŋəny	
toenail	n.	gəɕiɐn	
toenail	n.	gəɕiɐn; ŋəɕiɐn	
toenail	n.	ŋəɕiɐn	
tofu	n.	liki; lɛiki	Ancient Sichuan Chinese Líqí 黎祁
together	adv.	dɛtʂʰɐ	
together	adv.	nyɐŋ’ mɔ; nyɐŋmu	
toilet	n.	mɔsu	
toilet	n.	ʨiɐkʰuɐŋ; ’nɐŋgu	
tomb	n.	doso	
tomorrow morning	n.	’nɐ’i ʑiɛtsɛi	
tomorrow	n. adv.	’nɐ’i	
tongue	n.	dʐi	
tonight	n. adv.	bɛiʐi	
too much	adj.	tʂʰitsʰɐn	
too plentiful	adj.	tʂʰitsʰɐn	
Toona sinensis (Chinese toon)	n.	tʂʰuɐnsɐnpu	cf. Chinese Chūn 椿
tooth	n.	χui	
top	n.	wɐn’jɐn	
top of the mountain peak summit	n.	ʐĩgu	
top of a kitchen range	n.	ʥiɔtʰə; dʑiətʰə	
topic marker		-pʰə	
topple over	vpr.	bəbəmibɛi	
tough	adj.	χɐŋ	
town	n.	kʰiɐ	
town	n.	suʨʰiu	
Toxicodendron vernicifluum (Stokes) F.A. Barkl. (Chinese lacquer)	n.	χənsɐn	
toy	n.	gulubɛi’ji	
trade	n.	tsʰuŋ	
trader	n.	tsʰuŋbɛi’wu	
traffic hub	n.	jitʰuŋwutʰuŋ	
Tragopan temminckii (type of pheasant)	n.	ʥiu’muʥiɔkɛi	
trample	v.	miʨiəʨiə	
travel on official business	v.	lɐŋdɐnxi’wu	
traveler	n.	’lipu	
tree leaf	n.	sɐnpupɐpɐ	
tree	n.	sɐnpu	
small tree	n.	sɐnputsɛi	
a tree	n.	sɐnpudəpu	
tree branch	n.	sɐnpuguɐŋʨiɐ	
tree root	n.	sɐnpunɛ	
tree seedling	n.	sɐnputsɛitsɛi	
tree trunk	n.	duŋʐɐŋ	
tremble	v.	wutʰɐitʰɐibɛi	
trim	v.	gə	
trim	v.	kʰɐtɐtɐ	
trim vegetables for cooking	v.	dzɐnbɐ sɛidɐ	
tripod leg used to prop up a wok	n.	dʐ’ɛikɔ	
trouble times	n.	nɐŋʐuχɐŋ	
trousers	n.	χi	
trousers	n.	χiguɛ	
trowel	n.	tʂʰuɐntsɛi	
true	adj.	ʂu	
trumpet flower	n.	’mɐnumintɔ	
trumpet	n.	’mɐnu	
truss up	v.	tʂʰɐ	
try all out to do	v.	gudʐubɛi	
try	v.	tsʰɐitsʰɐibɛi	
try	v.	tsʰɛtsʰɛbɛi	
tsampa	n.	inpʰɛ	
tsampa 糌粑	n.	jĩpʰɛ; inb’ɛ	
tunes and melodies	n.	duŋpʰɛiduŋʨʰy	
turban	n.	pɐʐɛi	
turn into rags, wear out (of clothing)	v.	ʂo	
turn	n.	gɔʐɔ	
turn	n.	gɛigo	
turn on the tap	v.	tʂiwuɬhɐŋ	
turn over	vpinfl.	wukʰuitʂʰɐ	
turnip	n.	ʨʰiɐn	
turnip	n.	ʨʰiɐnluŋpu	
turtle	n.	ɕiɐn’mɛilhɔ	
turtledove	n.	buduʐu	
tusk	n.	tʂʰiχui	
television set, television programme	n.	diɐnsi	cf. Chinese diànshì 电视
twelfth day of a month	num.	sɛiɳi	
twelve	num.	dʑiuɳi	
twelve months	npr.	sĩɳĩ’li	
twentieth day of a month	num.	ɳiʂi	
twenty	num.	ɳiʂi	
twenty-eight	num.	ɳiʂidʑiɛ	
twenty-eighth day of a month	num.	ɳiʂidʑiɛ	
twenty-five	num.	ɳiʂi’ŋə	
twenty-fifth day of a month	num.	ɳiʂi’ŋə	
twenty-first day of a month	num.	ɳiʂidzi; ɳiʂidʐi	
twenty-four	num.	ɳiʂiʐi	
twenty-fourth day of a month	num.	ɳiʂiʐi	
twenty-nine	num.	ɳiʂigɛi	
twenty-ninth day of a month	num.	ɳiʂigɛi	
twenty-one	num.	ɳiʂidzi; ɳiʂidʐi	
twenty-second day of a month	num.	ɳiʂiɳi	
twenty-seven	num.	ɳiʂidɐn	
twenty-seventh day of a month	num.	ɳiʂidɐn	
twenty-six	num.	ɳiʂidʐu	
twenty-sixth day of a month	num.	ɳiʂidʐu	
twenty-third day of a month	num.	ɳiʂisɐŋ	
twenty-three	num.	ɳiʂisɐŋ	
twenty-two	num.	ɳiʂiɳi	
twice	npr.	ɳitʰɐn	
twin (whom are generally regarded by Guìqióng people as being unfortunate)	n.	dʐ’imukʰɐlɐ	
twisting threads into rope	v.	jɔ	
two armfuls	npr.	ɳiʁ’ɐŋ	
two days	npr.	ɳini	
two-hour period	npr.	tʂʰitsʰəudɐʨʰiɐ	
two hundred beehives	n.	wuitsɛiχədʐuŋ ɳiʥiə	
two hundred	num.	ɳidʑiə	
two hundred years	n.	loɳidʑiə	
two months	npr.	ɳi’li	
two	num.	ɳi	
two paces	npr.	ɳiŋɐŋ	
two people	npr.	ɳipɛi	
two thirds	num.	sɐŋʂɔtsi’ɳiʂɔ	
two thousand	num.	tuŋtsʰuɳiʥiɐŋ	
two years	npr.	ɳi’ŋɐŋ	
two Yuán	npr.	ɳipɐ	
ugly	adj.	tsʰɐntɔhɐŋ	
ugly people	n.	tsʰɐntɔhɐŋ’wu	
umbrella	n.	ʐ’ ɔtuŋ	
unable to move	adj.	tʂʰotʂʰomɐkɔ	
unbearable	adj.	sɐnmɐkɔ	
unbearable	adj.	səŋmɐkɔ	
uncle elder than one’s father	n:kin.	’ɐpɛi	
uncle	n:kin.	’ɐnku	
unclear	adj.	mɛiʐuimuʐu	
unclear water	adj.	tʂitʰɐŋtʰɐŋ	
uncomfortable	adj.	səŋmɐkɔ	
under	adv. pos.	χɔpɛi	
under-change	v.	tsʰɐlɛməgə	
undergo	v.	pʰɔ	
underground floor of a Guìqióng building containing pens for keeping cattle	n.	ʥiuʐo	
understand the traditional code of conduct	vpr.	dʐuɐnbu ’ɲyɐŋ	
understand	v.	gu	
under-surface of the foot	n.	gəpʰi; ŋəpʰi	
undo	v.	wutʂʰutʂʰu	
unexpectedly	adv.	dɛigilu mɛ̃’wu	
unfilial	adj.	ɕiɔmətsʰə	
unfilial sons or daughters	npr.	dʐ’əgɔɛ’lɛtsɛi	
unfortunate	adj.	ɖɐ	
unfortunate	adj.	lɛɖɐ	
unlucky	adj.	lɛɖɐ	
unmarried	adj.	kʰuwokʰuɐilɛmɐnɐŋ	
unmarried daughter, single woman	n.	mutuŋ	
unmarried son	n.	φutuŋ	
unpalatable	adj.	ʥiɐŋmɛijɐŋtsɛi	
unpalatable	adj.	mɐ̃dʐuɐŋ	
unreliable	adj.	dʐilumɛ̃	
unsettled	adj.	səŋmɐkɔ	
untilled land	n.	pɐŋʨiɐ	
unwise	adj.	mɐdʐɐdʐɐ	
uphill of the road	n.	φuʨiɐmijɐn	
upper back	n.	dɐtsʰi	
upper garment	n.	dz’ɛwɛ	
upright	adj.	tʰutsu	
uproar	n.	ɐʐiʐi	
upset	adj.	bubulɐlɐ	
upturn one’s face	v.	wɐn’jɐnwũŋɐ	
upturn	v.	ŋɐ	
urge	v.	kʰuɐi	
urinate	v.	’nɐŋ̓ɛʂi	
urinate	vpr.	’ɛʂi bɔ	
urine	n.	’ɛʂi	
use sparingly	v.	tsʰɐitsʰɐibɛi	
use up	n.	tʂutsʰu	
use	v.	tʂu	
vagina	n.	ʂui	
valley	n.	luŋpu	
valuables (valuable things)	n.	dʐizɔ	
vegetable basin	n.	dzɐnbɐ pʰɐŋtsɛi	
vegetable garden	n.	dzɐnbɐ gɔli	
vegetable	n.	dzɐnbɐ	
vegetable oil	n.	mə’nɐ; mɛ’nɐ	
vehicle	n.	tsʰɛtsi	cf. Chinese Chēzi 车子
verbal auxiliary		bɛi	
verbose	adj.	pʰiʂipʰɐlɐ	
very	adv.	tʂʰi	
very bad person	n.	gɔdʐu	
very expensive	adj.	pʰutʂʰidɐ	
very heavy	adj.	jɐkuɐndodo	
very high (of price)	adj.	dɐluhɐŋ	
very much resemble	v.	yəulɛhɛhɛ	
very short	adj.	’mudʐitsɛi	
very slowly	adv.	hɐmɐhɐmɐtsɛi	
very strong	v.	simukɔdzɐn	
very thin	adj.	g’uɐndʐig’uɐndʐitsɛi	
vicinity	n.	ɲiɛ; niɛ	
village	n.	dʐuɐŋmə	
village	n.	huŋtsʰu	
vine	n.	tɐntɐŋ	
vinegar	n.	dz’u	cf. Chinese Cù 醋
viscera	n.	bɛitɐŋ’nɐŋʐi	
voice	n.	sɐni	
voice, sound	n.	sɐ	
vole	n.	dzĩguŋ’luŋ	
vomited	v.	ʁ’ɐlɛ	
vulture	n.	ʥiɔgui	
wag the tail	v.	mikuɛ ɬɐɬɐ	
wag	v.	ɬɐɬɐ	
waist of a mountain	n.	bəlibətɐ	
waistband	n.	ʐɔku	
wait a long time	vpr.	gɐlhɐ lɐŋ	
wait	v.	lɐŋ	
wake somebody up	vpr.	sɐʨʰyɐnlɛwudɔku	
wake up	v.	wuʂidɔ	
walk	v.	ʨʰy	
wall	n.	tsipə	
a crack in the wall	n.	tsipəkʰəʐi	
wall-eye	n.	niɐ̃ɕiɛ	
walnut bloom	n.	ɛ’mɛ’mɛtsɛi	
walnut	n.	g’uŋluŋ	
wander, loaf	v.	tʂʰiʨʰiupʰɔ’wu	
wanderer	n.	tʂĩʨʰiu	
want to burp	v.	ʁ’ əgibɛimu	
want	v.	ʥiɐn	
war	n.	’mɐ	
warm	adj.	jo	
warm and hot season	n.	’jukʰu	
wash one’s face and rinse the mouth	v.	kʰəɕiʥi	
wash	v.	jɐ	
washy	adj.	tʰɐŋtʰɐŋ; tʰɐŋtʰɐŋtsɛi	
wasp	n.	wuiduŋ	
waste	n.	ʨiɐʨiɐpɐpɐ	
waste	v.	tʂʰuɐlɐbɛi	
watch over	v.	ʁ’ɐ	
watchdog	n.	ʥ’iɐŋʥiɔmɛkʰu	
water bird	n.	tʂʰiʥiɔʐɔ	
water bucket	n.	χə	
a bucket of	n:qual.	dəχə	
water dripping from the eaves	n.	dzɐtʂʰi	
water flows	v.	tʂiju	
water	n.	tʂi	
water pipe	n.	tʂiφu	
water springs up (e.g. when drilling a well)	v.	tʂibɔ	
water vat	n.	tʂiŋə	
water-bound animals	n.	tʂini	
waterfall	n.	dʐɐtʂʰi	
waterfall	n.	tʂĩdɛi	
waterhole	n.	tʂũ’mu	
waterlogging	adj.	tʂʰitsupʰɔ	
waterside	n.	tʂʰidzo	
wave	n.	tʂʰiɖə	
wave	v.	ɖə̃ɖə̃	
way out	n.	tsʰolu	
wayward	adj.	’nɐŋʑɔsĩʑɔ	
wayward	adj.	ʑo	
we (the exclusive first person plural pronoun)	pron.	ŋəgu	
we (the exclusive first person plural pronoun)	pron.	zogəu	
we (the inclusive first person plural pronoun)	pron.	ŋətsɛi	
wear	v.	wɛ	
wear-resisting	adj.	’liŋ; ’liŋlũhɐŋ	
weasel, Mustela sibirica	n.	wuidzi	
weather	n.	mɐŋ	
weather	n.	nɐŋtʰə	
weave cloth	v.	ʐɛitʰɐ̃	
weave	v.	tʰɐ̃	
web	n.	sĩtʰɐ̃	
weed grows exuberantly	v.	bɔɖəu	
weed	n.	bɔ	
weed the land	v.	ʥiɐ̃ ’wui	
weep aloud	vpr.	ɐʐəməʐəbɛilɛgɔ	
weigh	v.	jĩkuɐn	
weigh	v.	kuɐn	
well-arranged	adj.	dʐɛidʐɛi	
well-cooked	adj.	’mɛi	
well-cooked	adj.	’mɛi; ’min	
well-known	adj.	’miŋtʰuʥiɐŋtʂɐ	
well-rounded and healthy	adj.	’wɔ’muɖo	
well-rounded	n.	niɐntɐŋ	
wellspring	n.	tʂũ’mu	
west	n.	no	
wet	adj.	tʰɐŋ	
wet	adj.	tʰɐŋtʰɐŋ; tʰɐŋtʰɐŋtsɛi	
what	pron.	ʨiu	
whatever	pron.	dɐndɐn	
whatever	pron.	ʨiuʐiʐi	
whatsoever	adv.	mɐŋtsʰɐn	
wheat	n.	’jɐŋ	
a grain of wheat	npr.	’jɐŋdɐ’jɐŋ	
dark-flour wheat	n.	dʐimu’jɐŋ	
blighted wheat	n.	’jɐŋniɐ̃kɔ	
awn-less wheat	n.	’jɐŋɕiɐn	
reap the wheat	v.	’jɐŋkɐ	
