tongue	ri	ri	iri	ri	ri	la	lapho	le	le	lɛ	la	loi	loi
tooth	ʃinijat	ʃinijat	ʃiniŋ	ʃiniŋ	ʃiniŋ	nuthuŋ	toktʃe	nithiŋ	pətyn	butuŋ	nithiŋ	hintuŋ	ʃiŋtuŋ
elbow	watʃrap	watʃpau; tʃapram	phrow	saphrom	patʃrom	ikli	ikli	ikli	ikri	ikri	jitʃri	tʃiʔ	hudʒulu
hand	wat	wat	wat	wat	wat	ik	ik	ik	ik	ik	ik	hut	hu
palm	pri	watphje	viphijaŋ	watbijaŋ	viphijaŋ; akham	iktʃapar	iktʃapar	ikthuŋ	ikpaɾ	ikpaɾ	ikthuŋ	hutphara	huphala
finger	bijaŋ	bijaŋ	bijaŋ	watduweʔ	mabijaŋ	iksabo	iktʃi	burom	iktʃŭdo	ʔiʔpɾomu	ikadu	brama	husada
fingernail	pətʃijat	bəsen	bəsen	pə̆sen	pəʃen	iktʃiŋ	iktʃiŋ	ikʃiŋ	ikʃiŋ	iktʃiŋ	iktʃiŋ	hutʃhuŋ	hutʃiŋ
knee	lakijuŋ	ləspau	ləspau	lagijoŋ	lagijoŋ	klokpu	niphik	lipikhom	lapikhom	lapikhom	japikra	kolokpa	leiklopa
foot	lue	lei; lue	loe	lai	lai	laʔ	latʃapar	le	le	leh̥par	latʃoŋ	lai	lei
bone	ezak	ezeŋ	ezeŋ	nizeŋ	ezeŋ	skik	skik	skiʔ	skik	səkiʔ	axik	ʃukuʃ	ʃukuʃ
fat	eju	eju	eju	ejo	ejo	ajo	ajo	ajo	ăjo; ăjoʔ	ăjoʔ	ajo	tʃakpa	ăjo; ăjoʔ
skin	ekhuk	ekhuk	ekhuk	ekhuk	ekhuk	skuk	skuk	skup	skuk	səkuʔ	skuk	ʃakho	ʃakho
blood	efua	efua	efua	nəfai	məfai	ha	ha	he	he	hɛh̥	ha	hoi	hoi
sweat	haniju	haniju	haniju	haniwa	haniwa	ŋoiphi	gətʃhik	khotʃhikbu	kutʃikbo	khotʃipu	nakhã	namtʃhanami	namliŋ
belly	elui	elui	elui	lui	lui	siɾiŋ	siɾiŋ	fəriŋ	səɾiŋ	siɾiŋ	seri	hiliŋ	hiɲiŋ
heart (organ)	eləbau	eləbau	eləbau	ləbuʔ	ləbəu	suluŋ	syluŋ	syləŋ	syluŋ	suluŋ	ʃiloŋ	luŋthaʔ	luŋthaʔ
back	phapuŋzak	raguŋ; ephiŋbaŋ	hadu	phadum	ləbəu; phaduŋlaŋ	ɲakhu	d̪ekhe	aky	ky	kyː	naguŋ	dʒiap	lispo
body	eso	siu	eso	siu	ʃuʔ	liʔ	lui	aʃo	so	so	aʃo	lusmama	lismamu; zug
person	bran	bran	bran	–	tharathamaŋ	dʒiɾiŋ	dʒiɾiŋ	hando	athek	hanendoʔ	–	maŋma	bŭdihin
man	bəfəə	bəfəə	bəfəə	bran	bran	dʒihu	dʒiriŋ	dʒiriŋ	dʒĭɾiŋ	dʒiriŋ	dʒuhu	pədəŋ	bŭd̪ŭn
woman	bimi	bimi	dimi	hõamu	hõamua	dʒimi	dʒimi	dʒymykhɾe	dʒymy	dʒymy	dʒymy	dhudma	esma
father	aphua	aphua	aphua	ap; aphu	aphua	atʃi	ăbo	abou	ăbo	abo	abo	apa	aba
mother	amua	amua	amua	amu	amua	amu	ami; amu	ămuʔ	ămuʔ	amu	amo	ama	ama
husband	aje	ge	age	ɲige	ge	aja	ʔăja	dʒuhu	aje	aje	aja	oʔi	zofa
wife	aje	je	aje	je	je	aju	ʔăjo	dʒymy	aju	aju	aju	uja	uja
son	dəfua	dəfua	dəfua	dəfua	dəfua	du	du	adu	ăd̪u	adu	adu	tʃaʔla	kutʃhi
daughter	dimi	dimi; satəi	dimi	dəmi	dimi	dimi	dymy	dymy	dymy	dymy	dymy	damu	dʒŭmu
elder brother (gen)	abua	abau; adam	abakhau	abam	adam	abukhau	abu	abe; ada	abeakhou	abe	ʔaja	ada	ada
elder sister (gen)	abua	bumuwa; mimuabau	abau	bəməkhou	bumukhou	anukhau	anukhau	ane	̆aɲeakho	ane	abə	au	ʔawu
