Gloss	Form	Language
sugar cane	hɔʔ¹cʰu³	Gong (Uthai Thani)
sugarcane	ha sū	Lawa (Kwê Yai)
sugarcane	ha sū	Lawa (Kwê Noi)
sun	ni²kʰɔʔ¹	Gong (Uthai Thani)
sun	ni	Gong (Suphanburi) - older generation
sun	ni	Gong (Suphanburi) - younger generation
sunlight, hot, eight	kʰɛ̌ʔ	Gong (Suphanburi)
swallow	gə̀k	Gong (Suphanburi)
swallow	ʔɛŋ³bɛŋ⁵tuŋ⁵	Gong (Uthai Thani)
swallow	lak¹kʰaʔ¹ʔɔ³	Gong (Uthai Thani)
swamp	tʰu	Gong (Suphanburi)
sway, loose	kʰlò	Gong (Suphanburi)
sway, to loose	kʰo²ʔɔ²	Gong (Uthai Thani)
sweat	keŋ¹	Gong (Uthai Thani)
sweat / perspiration	ké̩ŋ 	Ugong
sweat, perspiration	kěŋ	Gong (Suphanburi)
sweep off	tʰo	Gong (Suphanburi)
sweep, to rub	tɯ³ʔɔ³	Gong (Uthai Thani)
sweet basil	tʰɔŋ²lu³	Gong (Uthai Thani)
sweet basil leaf	kʰɔ⁴nɔŋ⁴piaʔ¹	Gong (Uthai Thani)
sweet, to chop, to chip, to build, to fight	cʰu³ʔɔ³	Gong (Uthai Thani)
swell	wàŋ tʰe	Gong (Suphanburi) - older generation
swell	waŋʔɔ̂	Gong (Suphanburi) - younger generation
swell up, far	waŋ⁴ʔɔ⁵	Gong (Uthai Thani)
swell, protruding, wound, pus	pʰɨŋ	Gong (Suphanburi)
sweltering, middle narrowed part of narrow object (such as in an hourglass)	dòŋ	Gong (Suphanburi)
swim	wajʔɔ	Gong (Suphanburi) - older generation
swim	wajʔɔ	Gong (Suphanburi) - younger generation
swing	nɯ³ʔɔ³	Gong (Uthai Thani)
swollen	waŋ	Gong (Suphanburi)
sword	waʔ¹lɔŋ²	Gong (Uthai Thani)
tadpole	ʔok¹tω³	Gong (Uthai Thani)
Taenia alba	kɛ³	Gong (Uthai Thani)
tail	ni²tʰaŋ⁴	Gong (Uthai Thani)
tail	nitʰəŋ	Gong (Suphanburi) - older generation
tail	nitʰəŋ	Gong (Suphanburi) - younger generation
take	ju³ʔɔ³	Gong (Uthai Thani)
take	də́k kʰìa	Gong (Suphanburi) - older generation
take	də́k kʰà	Gong (Suphanburi) - younger generation
take a bath	ʔu	Gong (Suphanburi)
take care of	cʰèŋ	Gong (Suphanburi)
take off (shirt, shoes)	kʰlɔŋ⁴dɔʔ²ʔɔ³	Gong (Uthai Thani)
take, receive, get	ju	Gong (Suphanburi)
tale, story	cʰi²klɨ³	Gong (Uthai Thani)
talking mina, grackle	gaŋ	Gong (Suphanburi)
tall	balɛʔ cʰɛ ~ balɛʔ sɛ	Gong (Suphanburi) - older generation
tall	balɛ̀ʔ sɛ	Gong (Suphanburi) - younger generation
tall, high	gɔ̂ŋ	Gong (Suphanburi)
tamarind	ma²kaŋ⁴ʔɛ¹	Gong (Uthai Thani)
tapir	cʰiŋ⁴ʔa²tiʔ²	Gong (Uthai Thani)
taro	pɯŋ¹	Gong (Uthai Thani)
taste (a kind of)	cʰɨ̀ŋ	Gong (Suphanburi)
tasteless, pale	blak¹ʔɔ⁵	Gong (Uthai Thani)
tattoo	cʰak	Gong (Suphanburi)
teach	ma⁴ʔɔ⁵	Gong (Uthai Thani)
teak	cʰuŋ³ʔak²	Gong (Uthai Thani)
tear	ɲɔʔ¹pli²	Gong (Uthai Thani)
tear	bek¹cʰɛʔ²ʔɔ³	Gong (Uthai Thani)
tear	ɲɔʔ phɪ́k 	Ugong
tear, pluck (flowers, tops of vegetable)	běk	Gong (Suphanburi)
tell a lie	gɔʔ¹lɛʔ²ʔɔ³	Gong (Uthai Thani)
tell a lie, prevaricating	lɔʔ¹lɛʔ²ʔɔ³	Gong (Uthai Thani)
tell, to talk	pluŋ⁴ʔɔ⁵	Gong (Uthai Thani)
ten	cʰɛ³	Gong (Uthai Thani)
ten	cʰɛ	Gong (Suphanburi)
ten	cʰɛ ~ sɛ	Gong (Suphanburi) - older generation
ten	sɛ	Gong (Suphanburi) - younger generation
ten	sê	Lawa (Kwê Yai)
ten	sê	Lawa (Kwê Noi)
termite	pi²ʔi¹	Gong (Uthai Thani)
testicle	nɪ́ khû 	Ugong
testis	ni¹ku³	Gong (Uthai Thani)
Thai, excrement	ʔɛi¹	Gong (Uthai Thani)
that	hɛŋ	Gong (Suphanburi)
that	tu³	Gong (Uthai Thani)
that	nɛʔ tʰɔ	Gong (Suphanburi) - older generation
that	nɛ̂ŋ	Gong (Suphanburi) - younger generation
the area on the house which put up a partition	jiŋ²kloŋ³	Gong (Uthai Thani)
the area outside the house proper	tʰɔŋ⁴kiɛŋ³	Gong (Uthai Thani)
the cemetery	dǔk	Gong (Suphanburi)
the day after tomorrow	cʰɔŋ⁴naʔ¹	Gong (Uthai Thani)
the first person singular pronoun	ŋa³	Gong (Uthai Thani)
the flower of reed	bɔŋ⁴pʰoŋ³	Gong (Uthai Thani)
the middle area of the house	jiŋ³gɔŋ²	Gong (Uthai Thani)
the Northern Ugong	puŋ³ʔu²gɔŋ⁵pʰɔ¹	Gong (Uthai Thani)
the other person	hɔŋ²pʰɔ¹	Gong (Uthai Thani)
the second or third person pronouns	nɔ̀ŋ	Gong (Suphanburi)
the second or third person pronouns	nɔ³	Gong (Uthai Thani)
the Southern Ugong	ti³ʔe⁵pʰɔ¹	Gong (Uthai Thani)
the water getting from cooking rice	maŋ⁴te³wiŋ³	Gong (Uthai Thani)
then	ŋɔʔ	Gong (Suphanburi)
there	tǔk	Gong (Suphanburi)
there	nɛʔ tʰɔ̀	Gong (Suphanburi) - older generation
there	túk tʰɔ̂	Gong (Suphanburi) - younger generation
there, yonder	tu³tʰɔ⁵	Gong (Uthai Thani)
thick	dɔ²ʔɔ²	Gong (Uthai Thani)
thick	do	Gong (Suphanburi) - older generation
thick	dòʔɔ̀	Gong (Suphanburi) - younger generation
thick, scold, fierce	dɔ̀	Gong (Suphanburi)
thigh	phùŋ bǎlǎŋ 	Ugong
thigh bone / femur	phùŋ bàlǎŋwú/ᴜ 	Ugong
thin	kʰuŋ	Gong (Suphanburi)
thin	pi⁴ʔɔ⁵	Gong (Uthai Thani)
thin	kuŋ²ʔɔ²	Gong (Uthai Thani)
thin	pʰi pʰi	Gong (Suphanburi) - older generation
thin	pʰìʔ pʰi sɛ	Gong (Suphanburi) - younger generation
thing	pʰùŋbalǎŋ	Gong (Suphanburi) - older generation
thing	pʰùŋbalǎŋ	Gong (Suphanburi) - younger generation
things to be planted	kʰa ʔa	Gong (Suphanburi)
think	kʰìkʔɔ	Gong (Suphanburi) - older generation
think	kʰìkʔɔ̀	Gong (Suphanburi) - younger generation
think of	dok¹tiaŋ³ʔɔ³	Gong (Uthai Thani)
think, refect	kʰǐk	Gong (Suphanburi)
think, to reflect	kʰik¹ʔɔ³	Gong (Uthai Thani)
thirteen	sē-dōng	Lawa (Kwê Yai)
thirty	dōng-se	Lawa (Kwê Yai)
thirty one	dōng-sê-kātī	Lawa (Kwê Yai)
this	he¹	Gong (Uthai Thani)
this	hi tʰɔ	Gong (Suphanburi) - older generation
this	hɛ̀ŋ	Gong (Suphanburi) - younger generation
this evening	ɲuʔ¹ɲa²	Gong (Uthai Thani)
this year	he²cʰi³	Gong (Uthai Thani)
thorn	cʰɔ⁴	Gong (Uthai Thani)
thorn, speech, that, say (what did he say), speak	cʰo	Gong (Suphanburi)
thread	kʰə̌ŋ	Gong (Suphanburi)
thread	kʰaŋ³	Gong (Uthai Thani)
thread	cʰik¹ʔə²ʔɔ²	Gong (Uthai Thani)
thread up on	cʰik¹ʔɔ³	Gong (Uthai Thani)
three	ʔoŋ	Gong (Suphanburi)
three	ʔωŋ¹	Gong (Uthai Thani)
three	ʔoŋ	Gong (Suphanburi) - older generation
three	ʔoŋ	Gong (Suphanburi) - younger generation
three	dōng	Lawa (Kwê Yai)
three	dōng	Lawa (Kwê Noi)
throat	ku²ʔɔŋ²dɔŋ¹	Gong (Uthai Thani)
throat / gullet / pharynx	khu ʔɔ̌ŋ 	Ugong
throw	tʰu dɔʔ kʰáʔʔɔ	Gong (Suphanburi) - older generation
throw	tʰu dɔʔʔɔ	Gong (Suphanburi) - younger generation
throw away, to discontinue	wiŋ³tʰeŋ⁴ʔɔ⁵	Gong (Uthai Thani)
throw, to hurl	tʰeŋ⁴ʔɔ⁵	Gong (Uthai Thani)
thumb	lɔʔ¹ma²	Gong (Uthai Thani)
thumb	lɔ̌ʔ ma 	Ugong
tick, clf. for cigarette	wɨ¹	Gong (Uthai Thani)
tie	cʰia ~ siaʔɔ̂	Gong (Suphanburi) - older generation
tie	siaʔɔ̂	Gong (Suphanburi) - younger generation
tie (up)	be³taʔ²ʔɔ²	Gong (Uthai Thani)
tie up	ce¹ta²ʔɔ²	Gong (Uthai Thani)
tie, sour	ce³ʔɔ³	Gong (Uthai Thani)
tiger	dɨ̀a	Gong (Suphanburi)
tiger	la¹	Gong (Uthai Thani)
tiger	dɨa	Gong (Suphanburi) - older generation
tiger	dɨa	Gong (Suphanburi) - younger generation
tiger	kua tha	Lawa (Kwê Yai)
tight	nɛn	Gong (Suphanburi)
tingle taste	cʰà	Gong (Suphanburi)
tip of nose	nà thɛ̂ŋ / yɔŋ 	Ugong
tired, worn out	ɲuŋ	Gong (Suphanburi)
to steam	pʰuŋʔɔ̂	Gong (Suphanburi) - older generation
to steam	pʰuŋʔɔ̂	Gong (Suphanburi) - younger generation
toad	ba²kʰu³	Gong (Uthai Thani)
tobacco	cʰok¹	Gong (Uthai Thani)
today	juʔ¹ni³	Gong (Uthai Thani)
together	cʰɔŋ³	Gong (Uthai Thani)
tomato	cʰaŋ²pω⁴ʔɛ¹	Gong (Uthai Thani)
tomorrow	mωŋ⁴naʔ¹	Gong (Uthai Thani)
tongue	laʔɛ	Gong (Suphanburi)
tongue	la³	Gong (Uthai Thani)
tongue	lɛ́ʔʔɛ̂	Gong (Suphanburi) - older generation
tongue	lɛ̀ʔʔɛ̂	Gong (Suphanburi) - younger generation
tongue	laʔʔɛ̂ / lɛʔʔɛ̂ 	Ugong
tooth	ka	Gong (Suphanburi)
tooth	ka	Gong (Suphanburi) - older generation
tooth	ka	Gong (Suphanburi) - younger generation
tooth	ka 	Ugong
tooth dirt	ka khlɪ́/ka sé̩ŋ 	Ugong
tooth, canine tooth	ka¹	Gong (Uthai Thani)
top	ɲu	Gong (Suphanburi)
top	ɲu¹	Gong (Uthai Thani)
torn, to be disjointed	kʰəŋ	Gong (Suphanburi)
touch	tɔŋ	Gong (Suphanburi)
touch	ʔaʔ	Gong (Suphanburi)
trap	tʰɔŋ³ʔɔ³	Gong (Uthai Thani)
tray	piɛŋ³	Gong (Uthai Thani)
tree	ʔak¹cʰiŋ²	Gong (Uthai Thani)
tree	ʔə̌k cʰɨ̀ŋ	Gong (Suphanburi) - older generation
tree	ʔə́k sɨ̀ŋ	Gong (Suphanburi) - younger generation
tree	lak	Lawa (Kwê Yai)
tree	lak	Lawa (Kwê Noi)
trunk	ju³naŋ¹	Gong (Uthai Thani)
tube skirt, loin cloth	tʰa	Gong (Suphanburi)
tuberous plant	pɯŋ⁴le³	Gong (Uthai Thani)
tumble down	cʰuʔ¹ʔɔ³	Gong (Uthai Thani)
turmeric	ɲiŋ	Gong (Suphanburi)
turmeric	ɲɛʔ¹	Gong (Uthai Thani)
turn over, to turn	wa²ʔɔ²	Gong (Uthai Thani)
turn up an down (fish)	dɨŋ	Gong (Suphanburi)
turtle	pu²ŋoŋ⁵	Gong (Uthai Thani)
tusk	ʔɔ̌ŋ cʰì ~ ʔɔ̌ŋ sì	Gong (Suphanburi) - older generation
tusk	ʔɔ̌ŋ sì	Gong (Suphanburi) - younger generation
twelve	sē-nang	Lawa (Kwê Yai)
twenty	naŋ⁴ʔɛ⁵	Gong (Uthai Thani)
twenty	nɨŋ ʔɛ	Gong (Suphanburi) - older generation
twenty	nɨŋ ʔɛ́	Gong (Suphanburi) - younger generation
twenty	nang-sê	Lawa (Kwê Yai)
twenty one	nang-sê-kātī	Lawa (Kwê Yai)
twisted, to reap, to twist	wiʔ¹ʔɔ³	Gong (Uthai Thani)
twitter	blɛ³ʔɔ³	Gong (Uthai Thani)
two	nɨ̌ŋ	Gong (Suphanburi)
two	nɨŋ	Gong (Suphanburi) - older generation
two	nɨŋ	Gong (Suphanburi) - younger generation
two	nang	Lawa (Kwê Yai)
two	nang	Lawa (Kwê Noi)
two days after tomorrow	dɯk¹naʔ¹	Gong (Uthai Thani)
typeat worm with fuzz/hair	doʔ	Gong (Suphanburi)
Ugong word	ʔu²goŋ¹cʰɔ³	Gong (Uthai Thani)
umbrella	tuŋ¹mu²	Gong (Uthai Thani)
uncle	pu³ti³	Gong (Uthai Thani)
uncle (male)	ku²jɛʔ²	Gong (Uthai Thani)
under the floor of the house	jiŋ²puk¹	Gong (Uthai Thani)
under, below	puk¹tʰɔ⁵	Gong (Uthai Thani)
underarm / armpit	náʔ phû/phᴜ́k kɔŋ lˇ 	Ugong
underarm hair	náʔphû/phᴜ́k kɔŋ mọ̵́ŋ 	Ugong
understand, know, fruit	ʔɛ	Gong (Suphanburi)
up hold	tuŋ⁴dɛ³ʔɔ⁵	Gong (Uthai Thani)
upper back	wᴜ̌ŋphûŋ 	Ugong
upper edge of a thing such as a pot	pʰɔ̌ŋ	Gong (Suphanburi)
urinary bladder	yɪ́ phó̩k / yɪ́dᴜ́ŋ / yˊ 	Ugong
urine	ji¹	Gong (Uthai Thani)
urine	yɪ́ 	Ugong
urine, urinate (polite)	ji	Gong (Suphanburi)
used after figures, like -th in forming ordinal numbers	kʰɔ⁵	Gong (Uthai Thani)
uvula	laʔʔɛpɛʔ 	Ugong
vagina	cʰɛi⁴	Gong (Uthai Thani)
vagina	sɛŋ kɔŋ 	Ugong
vegetables	mok¹ʔa¹	Gong (Uthai Thani)
vehicles such as car, bicycle and etc	lǒt	Gong (Suphanburi)
vertical line	du dø	Gong (Suphanburi)
very	kə̂n	Gong (Suphanburi)
village	nang pôo yûng	Lawa (Kwê Yai)
vine	nɯŋ⁵	Gong (Uthai Thani)
vomit	pʰaʔ¹pʰa²ʔɔ²	Gong (Uthai Thani)
vomit	pʰáʔ pʰàʔɔ̀	Gong (Suphanburi) - older generation
vomit	pʰáʔ dɔ̀ʔʔɔ̀	Gong (Suphanburi) - younger generation
vomit	phǎ pha khjé̩ / khlé̩ 	Ugong
vulva / labia	sɛŋ 	Ugong
waist	cʰɛk¹kɛʔ²	Gong (Uthai Thani)
waist	só̩ kɛ́ʔ 	Ugong
waist, carry a bag at the shoulder	cʰuk	Gong (Suphanburi)
wait for	mɔ̀ŋ	Gong (Suphanburi)
wake up	da²ʔɔ²	Gong (Uthai Thani)
wake up	dà	Gong (Suphanburi)
walk	ka³wi²ʔɔ²	Gong (Uthai Thani)
walk	kɔ́	Gong (Suphanburi) - older generation
walk	kɔ́	Gong (Suphanburi) - younger generation
want	pʰu dûɔ	Gong (Suphanburi) - older generation
want	pʰu lûɔ	Gong (Suphanburi) - younger generation
want, to desire	pʰə³lω³ʔɔ³	Gong (Uthai Thani)
warbler	naŋ⁴ca²lɛʔ¹	Gong (Uthai Thani)
warm at fire, bake	ɲèŋ	Gong (Suphanburi)
wash	cʰìʔɔ̂ ~ sìaʔɔ̂	Gong (Suphanburi) - older generation
wash	cʰía	Gong (Suphanburi) - younger generation
wash (face)	jak¹ʔɔ⁵	Gong (Uthai Thani)
wasp	cʰǒʔ	Gong (Suphanburi)
wasp	cʰuʔ¹	Gong (Uthai Thani)
watch, to wait	mɔŋ²ʔɔ²	Gong (Uthai Thani)
water	ti³	Gong (Uthai Thani)
water	tʰi	Gong (Suphanburi) - older generation
water	tʰi	Gong (Suphanburi) - younger generation
water	ti	Lawa (Kwê Yai)
water	ti	Lawa (Kwê Noi)
water lizard	cʰø	Gong (Suphanburi)
water lizard	kǎŋ	Gong (Suphanburi)
water melon	ciŋ¹cɛ²	Gong (Uthai Thani)
water tuberous plant	li²lɔ¹	Gong (Uthai Thani)
way	pàtʰi	Gong (Suphanburi)
way	pa²ti³	Gong (Uthai Thani)
weak, no energy	jiŋ	Gong (Suphanburi)
wear	wiŋ⁴ʔɔ⁵	Gong (Uthai Thani)
wear (skirt)	kaʔ	Gong (Suphanburi)
weave, plait	tʰoʔ	Gong (Suphanburi)
weep	ŋùɔ	Gong (Suphanburi) - older generation
weep	ŋùɔ	Gong (Suphanburi) - younger generation
weevil	pu²kʰɔʔ¹	Gong (Uthai Thani)
weight, kilo, to play	lo	Gong (Suphanburi)
well	koʔ²kaʔ¹	Gong (Uthai Thani)
westerner	pʰlaŋ	Gong (Suphanburi)
wet	cok²ʔɔ⁵	Gong (Uthai Thani)
wet	cók tʰe	Gong (Suphanburi) - older generation
wet	calòk	Gong (Suphanburi) - younger generation
what	kʰaŋ we	Gong (Suphanburi)
what, how	ʔa³kʰɛŋ³we³	Gong (Uthai Thani)
what?	kʰɛŋ wè	Gong (Suphanburi) - older generation
what?	kʰɛ̂ŋ we	Gong (Suphanburi) - younger generation
wheel	kǒŋ	Gong (Suphanburi)
wheel	koŋ³	Gong (Uthai Thani)
when	juʔ¹we²	Gong (Uthai Thani)
when?	joʔ we	Gong (Suphanburi) - older generation
when?	ʔajóʔ we	Gong (Suphanburi) - younger generation
where	tʰɔ we	Gong (Suphanburi)
where	tʰɔ²we⁵	Gong (Uthai Thani)
where?	tʰɔʔ we	Gong (Suphanburi) - older generation
where?	tʰɔ̂ʔ we	Gong (Suphanburi) - younger generation
whip	jaʔ¹ʔɔ³	Gong (Uthai Thani)
whistle	co³ʔɔ³	Gong (Uthai Thani)
white	mɯŋ¹pʰɔ²	Gong (Uthai Thani)
white	pʰlɔ pʰlɔ	Gong (Suphanburi) - older generation
white	pʰlɔ pʰlɔ̂	Gong (Suphanburi) - younger generation
white	mûng plaw	Lawa (Kwê Yai)
white mark	mɪŋ phlɔ 	Ugong
white mushroom	mu³lɔ²	Gong (Uthai Thani)
white of eye	ɲɔʔ (kɔŋ)phlɔ/phɔ̌ 	Ugong
who	ʔo wè	Gong (Suphanburi)
who	ʔo³we³	Gong (Uthai Thani)
who?	ʔo we	Gong (Suphanburi) - older generation
who?	ʔo we deŋ	Gong (Suphanburi) - younger generation
whole body	ʔadúŋ ʔadúɔʔ 	Ugong
wide	kli²ʔɔ²	Gong (Uthai Thani)
wide	kʰî	Gong (Suphanburi) - older generation
wide	kʰî	Gong (Suphanburi) - younger generation
wide, vast	kʰì	Gong (Suphanburi)
wife	ɲi	Gong (Suphanburi)
wife	ɲi¹	Gong (Uthai Thani)
wife	hɔŋ ɲi	Gong (Suphanburi) - older generation
wife	ɲi	Gong (Suphanburi) - younger generation
wife	yê	Lawa (Kwê Yai)
wild boar	pʰu²lɔŋ²pωʔ¹	Gong (Uthai Thani)
wild cow	ʔǒŋ	Gong (Suphanburi)
wild fowl	pʰu²lɔŋ²wωʔ¹	Gong (Uthai Thani)
will, two	niŋ	Gong (Suphanburi)
wilted (to be), bruised wrinkled	jǒk	Gong (Suphanburi)
wind	dǐ	Gong (Suphanburi)
wind	li³	Gong (Uthai Thani)
wind	dǐ	Gong (Suphanburi) - older generation
wind	dǐ	Gong (Suphanburi) - younger generation
wind	lī	Lawa (Kwê Yai)
wing	tuŋdɔ̀ŋ	Gong (Suphanburi) - older generation
wing	tʰuŋdɔ̀ŋ	Gong (Suphanburi) - younger generation
winged bean	hiŋ³cʰɛi⁴ʔɛ³	Gong (Uthai Thani)
wink	cʰek¹ʔɔ⁵	Gong (Uthai Thani)
winnow	bɔŋ²ʔɔ²	Gong (Uthai Thani)
winnow the paddy	bɔ̀ŋ	Gong (Suphanburi)
winnowing basket	ku²lɔ¹	Gong (Uthai Thani)
winter	kluʔ¹cʰɔʔ²	Gong (Uthai Thani)
wipe	kʰøʔɔ	Gong (Suphanburi) - older generation
wipe	kʰø pʰɛ́ʔʔɔ	Gong (Suphanburi) - younger generation
wipe, to pour off slowly	cʰo²ʔɔ²	Gong (Uthai Thani)
wipe, to rub, to erase	ɲɛ³ʔɔ²	Gong (Uthai Thani)
wipe, to rub, to erase	tʰɨ	Gong (Suphanburi)
with	kʰe	Gong (Suphanburi) - older generation
with	he	Gong (Suphanburi) - younger generation
withered	jok¹ʔɔ⁵	Gong (Uthai Thani)
wolf	pɯŋ¹kʰɯ³	Gong (Uthai Thani)
woman	cʰi²cʰi¹	Gong (Uthai Thani)
woman	cʰi cʰe ~ sì se	Gong (Suphanburi) - older generation
woman	sì se	Gong (Suphanburi) - younger generation
women	si si	Lawa (Kwê Yai)
wood	ʔə̌k	Gong (Suphanburi)
wood pecker	pu³ta²nɛi³	Gong (Uthai Thani)
wood with sharp iron at the end used for digging a hole for planting paddy	kʰuk tʰəŋ ʔa	Gong (Suphanburi)
word, language, bunch	cʰɔ²	Gong (Uthai Thani)
work	kɔ³pu²ʔɔ²	Gong (Uthai Thani)
work	kɔ	Gong (Suphanburi) - older generation
work	kɔ puɔ	Gong (Suphanburi) - younger generation
work, go	kɔ	Gong (Suphanburi)
worm	dǒʔ	Gong (Suphanburi)
worm	luʔ¹	Gong (Uthai Thani)
worm	dǒʔ	Gong (Suphanburi) - older generation
worm	dóʔ	Gong (Suphanburi) - younger generation
worship	dəŋ¹cʰa²ʔɔ²	Gong (Uthai Thani)
wound	pliŋ¹	Gong (Uthai Thani)
wrap up, to cover, to coil	tʰəʔ¹ʔɔ⁵	Gong (Uthai Thani)
wriggle	deŋ	Gong (Suphanburi)
wrist	lɔʔ¹tɯŋ¹	Gong (Uthai Thani)
wrist	lɔ̌ʔ sɔ́ʔ 	Ugong
wrong	pʰik	Gong (Suphanburi)
yang (Dipterocarpus alatus)	tawng lak	Lawa (Kwê Yai)
yawn	kʰa¹tʰɔʔ²ʔɔ³	Gong (Uthai Thani)
year	cʰi³	Gong (Uthai Thani)
year	cʰi	Gong (Suphanburi) - older generation
year	si	Gong (Suphanburi) - younger generation
yellow	bɔŋ¹blɔŋ²	Gong (Uthai Thani)
yellow	bɔŋ bɔŋ	Gong (Suphanburi) - older generation
yellow	bɔŋ bɔ̀ŋ	Gong (Suphanburi) - younger generation
yellow	plong plang	Lawa (Kwê Yai)
yesterday	ɲa⁴ni²	Gong (Uthai Thani)
you	nɔŋ	Gong (Suphanburi) - older generation
you	nɔ̀ŋ	Gong (Suphanburi) - younger generation
young cock	wωʔ¹cʰɔʔ²	Gong (Uthai Thani)
young plant (for replanting)	pʰlɔʔ	Gong (Suphanburi)
young, to be pale light (of color)	jeʔ	Gong (Suphanburi)
young, to be young, adolescent	ʔu²cʰɔʔ¹	Gong (Uthai Thani)
younger brother	mɔŋ⁴cʰi²pɛi¹	Gong (Uthai Thani)
younger brother (sister)	pɛi¹	Gong (Uthai Thani)
younger sibling	pɛŋ	Gong (Suphanburi)
younger sibling	pɛŋ	Gong (Suphanburi) - older generation
younger sibling	pɛŋ	Gong (Suphanburi) - younger generation
younger sister	cʰi²cʰi²pɛi¹	Gong (Uthai Thani)
