Gloss	Bangru	Eastern Miji	Western Miji	Hruso	Proto-Hrusish	aconite	ant	awake	axe	bad	bamboo (big)	bark (tree)	bear	bee	big (thick, wide)	bird	bite	bitter	blanket	blood	blow	body	body hair, feather	boil (water)	bone	bow	breath	breast; milk	broom	burn	cane; rope	chicken	child	chin	cloth	cloud	coal	cook	cooking oil	copula	cow	cry	cut	day	dead body	deep	die	dig	dirty	do	door	dream	drink	eat	egg	eight	elder brother	elephant	empty	excrete, defecate	excrement	eye	far	fat (n)	fear	few	fight	finger	fire	fireplace	fish	five	flow	flower	friend	frog	fruit	four	full	garlic, onion	give	goat	grandfather	grandmother	grass	grind, crush	guts	hair	hard	hammer	hand, arm	have, exist	head	heart	heavy	horn	horse	house	how many	human	hundred	ill	insect	iron	itch	kick	kill	knife	know	laugh	leaf	leech	leg	lick	lift	light	liquor	listen, hear	live, grow up	liver/lungs	long	look, see	louse	make; do	man (male)	meat	medicine	melt	month	moon	mountain	mouth; language	mortar	mother	name	near	negative imperative	new	night	nine	nose	old	one	otter	paddy rice	penis	pestle	pig	pillow	pull	put	rain	red	revenge	ring	river	road	root	round	rub	run	sago palm	salt	sand	seed	sell	seven	sew	short	shoulder	sister (elder)	sit, stay	six	skin	sky	sleep	smell (v)	smoke (n)	snake	snow	soft, smooth	soil	speak	spear	spicy	spittle	split	stab, punch	stand	star	steal	storehouse, granary	straight	suck	sun	swallow	sweet	swell	(swidden) field	swim	tail	take	tell	ten	that	that (lower)	thigh	think	this	thread	three	thorn	thousand	tongue	tooth	tree	turquoise	two	uncooked rice	vegetable	vomit	walk	hot, warm	water	waterfall	weave	what	where	white	who	wind	window	wing	with	wood	woman	year	yesterday	younger sibling	1SG	2SG	3SG	1DU	1PL	2PL	3PL
bәːloŋ	bilo ~ biluŋ	biluŋ	bŭlːu; bilu (SA)	*bəw-luŋ
səː	–	sen (SM)	sə (SA)	*suN
kəd͡ʑùʔ	–	gud͡zu (SM)	səd͡zu (SA)	*gə-d͡ʑuk
paː	təgeŋna	laitegeŋ ~ dəgrən ~ tekraŋ	gədrə; gəd͡ʒu (SA)	*dəgraŋ
gjaː	gaina	wai ~ waitʃo(strike, beat?)	gə (SA)	*gajC
wɛːt͡səŋ	vaitʃoŋʒi	vetʃin ~ vaitʃoŋʒi; vait͡sən (SM)	betʃasa; vet͡sə (SA)	*vaj-t͡suŋ
niː	nina ~ nĭ	nĭ ~ ŋintʃina ~ nintʃe; ɲi (SM)	d̪aŋxudʒo; hosə (SA)	*ni
tua	tona	tʰo ~ tʰou	tʃʰəjo; t͡ʃi (SA)	*toC
mərjɛ̀ʔ	məlam ~ golap	məle ~ uleʔ	ʔə̆xe; ʃere (SA)	*mə-rajC
ləwɛ̀ʔ	–	dəve̬ (SM)	–	*lə-wajC
məlɛː	lei	lai	əʃi ləbu (SA)	*laj
kəloː	–	–	–	–
lõ(ŋ)	jan ~ ijaŋna	jan ~ ʃaŋ	lo (SA)	*laŋ
lətõː	mənətaŋ	malətʰaŋ ~ alitʰaŋ ~ mədətʰaŋ	lə̆to; lutʰou (SA)	*mə-lə-taŋ
t͡ɕiː	(pə̆)tʃaŋ	tʃaŋ	tʃə; t͡si (SA)	*t͡ɕi
rɛi	roina	rei	dʒədʒo; d͡zəxu (SA)	*rej
səŋ	–	ʃən (SM)	əʃə (SA)	*siŋ
mətɛ̃ĩ	–	mətʰən (SM)	ě-djǔ(AS)	*mə-θin ‘liver’
məpaŋ; mə³¹braŋ⁵⁵ (LD)	məpijaŋ	məpijaŋ	pʃu; psiu (SA)	*mə-pjaŋ
gõː	gaŋna	waŋ	hodʒo	*gaŋ
sàʔ	–	fi̬ (SM)	ʃə (SA)	*saC
da ~ dɛː	–	–	d̪adʒo	*daj
ɲəwiː	ɲəjə	ɲiju ~ nuʔ ~ nuvə; nuvu (SM)	mə̆hu; muxu nəna (SA)	*niC
sùʔ ~ ɕùʔ	sĭkijuŋ	ʃitʃuŋ	ϕu; t͡sə, sə (SA)	*su
doːwai	dawa	dawa	d̪oxa	–
ŋua ~ gua; d͡ʑɛː	–	–	–	–
lùʔ	lə	lə ~ lu	kʰobe	*lu
aloː ləbai	lə	lɛ ~ lu	hŏbe; hubje (SA)	*lu
gaŋ ~ səpiː	poŋ	pʰuŋ ~ poŋ	pʰu; pʰudeu (SA)	–
məɲəŋ	ɲek ~ ɲeləi	niwi ~ nui	ʔə̆nzu; und͡zu (SA)	*mə-nuŋ
ləraː	–	dəlo (SM)	rulu (SA)	*lu-lV
mәɲɛː ~ aɲɛː	aɲe	anai ~ aɲi	aɲi	*me-naj
məmjəŋ	mə̃rn	mə̃rn	ʔəɲəɲə; ʔaɲiɲi (SA)	*mə-mjiŋ
mərɛː	məroi	məni ~ aɲiŋ	ʔəɲisə	*mə-nej
tu-	–	tʰa- (SM)	d͡ʒu- (SA)	*ta-
məkərəː	məkərə	məgəniu ~ agənu	ʔə̆kə̆n; əkʰən (SA)	*mə-gə-nu
nəgaː ~ agaː	(k/g)eŋgau	(dʒaŋ/tʃaŋ)gau	ɲegi	*nə-gaC
sətəŋ	ɕətan	sətən	st̪ə; stʰə (SA)	*sə-tiŋ
mikoː ~ məɲəkoː	nebijoŋ	nibuŋ ~ nibiuŋ ~ nebijoŋ	ʔuʃə; (un/nu) su (SA)	–
məɕuaː	məʃoʔ	(a/mə)ʃoʔ	ʔə̆me; emije (SA)	*mə-ɕoʔ
akə̃ː ~ akɨː	aŋ ~ akʰijo ~ akoʰowa	akʰeʔ ~ akʰijo ~ akʰo ~ atro	ʔa	*a-ken
sẽː	–	–	size (SA)	–
ɛ̃ː	ŋam	enʃo ~ aɲsoʔ ~ an	ʔo	*an
məlòʔ	–	–	–	–
pəlaː	–	bəlau (SM)	–	*bə-laC
jùʔ	dʒo(ʔ)	dʒio ~ dʒuo ~ dʒoʔ; ʒo (SM)	ʋo; vo (SA)	*jowʔ
gokɛ̃ĩ	gokəm	ukʰum ~ (nu/wo) kʰən	dĭkʃo	*go-kuN
saː	bre ~ ɕaana	roʔ ~ horo	byjo	–
wuː ~ vuː	–	rou (SM)	–	–
nədiː	fro	fro; pʰrjo (SM)	jedʒăʃə; ɲed͡zəʃi (SA)	*nə-dəj; *pro
jat͡ɕòʔ	mətʃi	mətʃə ~ mətʃu ~ atʃu	tʃu	*t͡ɕaʔ
raː	–	–	–	–
gəleʔ	gilan	gile ~ gilan	(gzət͡sə/dʒə̆tʃe) lje	*gə-leC
wəgoː	vəjaŋ ~ vədo	vəjaŋ ~ vədo	kʰu; xudɛu (SA)	–
rɛːbõ	labaŋ	labaŋ ~ lembaŋ	xabo; rabo (SA)	*lam-baŋ
məkɛ̃ĩ ~ məltù	məkʰən ~ gokʰrən	kʰrən ~ okʰriŋ ~ ukʰən	ʔə̆kʃe; əkʰrə (SA)	*mə-kriŋ
məwəː	mədəriu	mədəriu	od͡ʒou; ud͡ʒərəu (SA)	*mə-də-rəw
pəsɛi	–	–	–	–
biː	–	ʒum (SM)	–	–
ləwoː	–	–	–	–
ruː	lə	lu	xu; ru ~ ɣu (SA)	*lu
səgaiʔ	ɕəgəroi	bai; balji (SM)	bali	*sə-gə-raj
mətɛ̃ː	tailoi	tʰe-li ~ ăli ~ tʰedʒo ~ ma-lai	ʔə̌sə	*mə-θai
laː	laəna ~ kʰau	lao ~ pʰekʰo ~ tʃoŋret	dɹu	*laC
məwàìʔ	mija	mija(k)	mɹo; mrjo (SA)	*mə-ljak
kàìʔ	gəikʰrə ~ kʰrəmna	(grə‑)kʰri ~ kʰrə	kʃijo	*k(r)iC
mərõŋ; mə³¹ŋoŋ⁵⁵ (LD)	məruŋ	məruŋ ~ aruŋ	ʔĕtʃesa; udu (SA) (SA)	*mə-nuŋ
(mə)potɕ(i̤)	–	pastuŋ (SM)	–	–
amaː ~ momoa	ʔama	amo ~ amu; momo (SM)	ʔama	*mə-ma
d͡ʑùʔ	gijoŋ ~ gijona	deŋradʒuŋ ~ dʒuʔ ~ gijoŋ	xowe; ɣɔ ~ ro (SA)	*d͡ʑuC
rèʔ	ra(m)	re(ʔ)	xe; rijɛ (SA)	*reC
məpjaː	məpə ~ məpre	məpre	ʔə̆tʃʰə	*mə-prja
ɲədəluː	gijaŋ	(na)d͡ʒang	med͡ze; ɲed͡zə (SA)	*nə-də-laŋ
d͡ʑeː	dʒi(na)	dʒi	dɹumudʒo; d͡ʒu (SA)	*d͡ʑV
rɛ̃ː	–	ɲen (SM)	sohu (SA)	–
