No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
288	gallbladder	胆/苦胆	*ki¹	kɨ⁵⁵	kɨ²⁴	tɕi⁵⁵	kɨ⁴⁵³	ja²¹ki⁵⁵	ɛ²¹ki²⁴	dan²⁴
289	bile	胆汁	*ki¹ɣi¹	kɨ⁵⁵ɣɨ⁵⁵	kɨ²⁴ɣɨ²⁴	tɕi⁵⁵kʰa²¹ji²⁴	kɨ⁴⁵³ɣɨ³³	ja²¹ki⁵⁵ɣɨ⁵⁵	ɛ²¹ki²⁴ɣɨ²⁴	dan²¹ɣɨ³³
290	sweat	汗	*kjɛ²	kɨ²¹	kɛ²¹	kiɛ²¹ji²⁴	kɛ˞²¹	kɛ²¹	kɨ²¹ɣɨ²⁴	kɛ˞²¹
291	blood	血	*si²	sɿ²¹	sɿ²¹	sɿ²¹	sɿ²¹ʔĩ⁴⁵³	ɕiŋ²¹ki⁵⁵	ɕi²¹	sɿ²¹
292	snot	鼻涕/粘液	*ʔny̠ᶫ	ʔnø̠²¹	ny⁵⁵tsʰɿ²¹	nə⁴²	nø̠³³pʰᶠɤ̪⁴⁵³	nɑ̠̠²¹	nɨ̠²¹	nəŋ⁴⁵³
293	phlegm	痰	*ti²kʰa²	ti̤²¹kʰa̤²¹	ti²¹kʰɨ²¹	ti²¹tɕʰi²¹	ti²¹kʰɛ˞²¹	tɨ²¹ɣɨ⁵⁵	tɨ³³xa̠ʔ²¹	tɕi²¹kʰɛ˞²¹
294	saliva	口水	*ti²ɣi¹	ti̤²¹ɣɨ⁵⁵	ti²¹ɣɨ¹³	ti²¹ji²⁴	ʔɛ˞²¹ɣɨ²⁴	pɨ²¹sɿ²¹ɣɨ⁵⁵	tɨ²¹ɣɨ²⁴	m̩²¹pʰai⁵⁵ɣɨ³³
295	milk	奶	*a¹tʃɨ̠ᴴ	a⁵⁵tʂʅ̠³³	i⁴⁴tʂʅ⁴⁴	a⁵⁵tsɿ³³	a⁵⁵tʂʅ³³	a⁵⁵tʃɿ̠³³	o²⁴tɕi³³	a⁵⁵tsɿ⁵³
296	excrement	屎	*kʰji²	tsʰɿ̤²¹	tsʰɿ²¹	tɕʰi²¹	tsʰɿ²¹	kʰi²¹	kʰi²¹	tsʰɿ²¹
297	urine	尿	*zi²	zɿ²¹	zɿ²¹	zɿ²¹	zɿ³³	n̩²¹ɕi⁵⁵	tɕi²⁴xə²¹ɣɨ²⁴	zɿ²¹
298	pus	脓	*bi¹	vi⁵⁵	dzɿ²⁴	bi²⁴	dzɿ²⁴	bi⁵⁵ɣɨ⁵⁵	bi²⁴ɣɨ²⁴	bi³³
299	sore (wound)	疮	*gɛ²	ɦɛ̤²¹	ɣɛ²¹	gɛ²¹	gɛ˞³³ʔo̠⁴⁴	po³³no⁵⁵	bɨ³³no²⁴	pu⁵⁵na³³
300	body hair	毛(翎毛)	*tsʰy¹	tsʰy⁵⁵	tɕʰy²⁴	n̩²¹tsʰə⁵⁵	tsʰy⁴⁵³	ja²¹tʃʰɿ⁵⁵	tɕi²⁴gu²¹muʲ⁵⁵jo³¹	
301	penis	阴茎	*hɛ²	hɛ̤²¹	hɛ̃²¹	xɛ²¹	hɛ̃²¹	do²¹bi⁵⁵	do²¹bi²⁴	
302	vulva (a)	女阴	*tu²	tə²¹	tv̩²¹	tɤ̪²¹	tɤ̪˞̩²¹bɛ³³	do²¹bi⁵⁵	do⁵⁵bi³³	
302	vulva (b)	女阴	*bje̠ᶫ				tɤ̪˞̩²¹bɛ³³	bi³³la²¹	do⁵⁵bi³³	bĩ²¹tʂʰɛ³³
303	anus	肛门		tsʰɿ²¹tə²¹kʰə⁵⁵	tsʰɿ²¹tv̩²¹kʰv̩²⁴	ta⁵⁵pə⁵⁵mi³³	tsʰɿ²¹tɨ²¹mɛi⁴⁴	pʰɛ²¹tɛ²¹kʰu⁵⁵	kʰi³³du²¹ko³³xoŋ⁵³	
304	tendon	筋/腱	*gju²tʃa³	gə²¹tʂa³³	gv̩²¹tʂa³³	tɕi⁵⁵tsa³³	gɤ̪˞²¹tʂo³³	xo²¹gu²¹po³³tso³³	gɨ²¹tso³³gɨ²¹mo³³	
305	breath	呼吸	*se̠ᶫxa¹	sɛ̠²¹xa⁵⁵	se⁵⁵xa³³	sei⁴²xa⁵⁵	sɛi³³xo⁴⁵³	sɛ²¹xo⁵⁵	ɕi³³pʰv̩²¹	
306	strength	力气	*ɣa²	va̤²¹	ɣa²¹	ɣʷɔ²¹sei⁴²	ɣo²¹ɲi⁴⁵³	vo²¹	vo²¹	
307	person	人	*tsʰaŋ¹	tsʰu⁵⁵	tsʰu⁴⁴	tsʰa⁵⁵	tsʰa⁴⁵³	tsʰa⁵⁵jo²¹	tɕʰio⁵³	tsʰu³³
308	male	男人	*ʒo̠ᶫ	ʐo̠²¹pa̠²¹	ʐu⁵⁵za²¹	ju³³pu⁴²	zo²¹ny⁵⁵zo²¹	jɛ²¹pɑ̠²¹	ŋ̩²¹kʰa³³po̠²¹	zu⁴²pa⁴⁵³
309	female	女人	*za²mɛ²	ma̠²¹ʔɲi⁵⁵u²¹	mɛ²¹za²¹	zɔ³³mɛ²¹	za²¹mɛ˞²¹zo²¹	n̩²¹nə⁵⁵jo²¹	zɿ³³mɨ³³tsʰɿ²¹	za²¹mɛ˞²¹
310	autonym	(自称)	*la²lo̠ᴴpa̠ᶫ	la̠²¹ʔlo̠³³pa̠²¹	la²¹lu³³pa⁵³	la⁴²lu³³pu⁴²	la²¹lu³³	lo²¹lo³³pɑ̠²¹	o²¹kʰa²⁴	la²¹lu⁴⁵³
311	Han Chinese (a)	汉族	*he̠ᶫ/ha̠ᶫpa̠ᶫ	ha̠²¹pa̠²¹		xei⁴²pu⁴²		xɛ²¹pɑ̠²¹	xiɛ³³po̠²¹	xai⁵³pa⁵³
311	Han Chinese (b)	汉族	*la²bɨ²		la²¹bɨ²¹		la²¹bɨ²¹			
312	Yi/Lo	彝族								
313	Bai	白族		la̤²¹bʉ̤²¹	a²¹pa⁴⁴ni²¹	la̤²¹bə²¹	a³³pɛi³³			la²¹bi²¹
314	Dai	傣族		tai²¹⁴			pɛ˞⁵⁵ʝi⁵⁵	pɛ⁵⁵pɑ̠²¹	bai²⁴	bɛ˞⁵⁵ji⁵³
315	child	儿童	*a¹ne¹za²	a⁵⁵ɲi⁵⁵za̤²¹	a²¹nɛ⁴⁴za²¹	a⁵⁵ni⁵⁵zɔ²¹	a⁴⁴nɛ˞⁴⁴zo²¹	a⁵⁵ni⁵⁵jo²¹	a²⁴ni⁵⁵jo⁴²	a²¹ɲɛ³³ma⁵³
316	elderly person	老人	*tsʰaŋ¹maŋ²	tsʰu⁵⁵mu²¹	tsʰu⁴⁴mu²¹	tsʰa⁵⁵ma²¹	tsʰa⁴⁵³ma²¹	ja²¹ma²¹	tsʰa⁵⁵ma²¹	tsʰu³³mu²¹
317	older man	老男人	*a²pa¹	a²¹pa⁵⁵mu²¹	a²¹pa⁴⁴ma³³	a²¹pɔ⁵⁵ma²¹	a²¹pu⁵⁵mo³³	a²¹po⁵⁵ma²¹	a³³po²⁴ma²¹	tsʰu³³mu²¹pa⁵³
318	older woman	老女人	*a²pʰi²	a²¹fi²¹mu²¹	a²¹tsʰɿ²¹ma³³	a²¹pʰi²¹ma²¹	a²¹tsʰɿ²¹mo³³	a²¹pʰi²¹ma²¹	a³³pʰi³³ma²¹	tsʰu³³mu²¹ma³³
319	boy	青年男人	*su¹le̠ᶫpa̠ᶫ	sɿ⁵⁵lɛ̠²¹pa̠²¹	za²¹le⁵³	sɿ⁵⁵li⁴²pu⁴²	zo²¹ny⁵⁵zo²¹	su⁵⁵lu²¹pɑ²¹	tsʰa³³buʲ⁵⁵jo³¹	sɛ³³lɛ⁵⁵za²¹
320	girl	青年女人	*su¹le̠ᶫma³	sɿ⁵⁵lɛ̠²¹ma³³	zɛ²¹mə²¹za²¹	sɿ⁵⁵li⁴²mɔ³³	za²¹mɛ˞²¹zo²¹	dʒo²¹mɛ²¹lɛ²¹	zo³³mi³³jo²¹	za²¹mɛ²¹ə³³nə³³
321	friend	朋友		ta̠³³pɛ̠³³	ta⁴⁴pɛ⁴⁴, zɿ⁴⁴nɛ³³	xɔ²⁴da³³sɿ⁵⁵	ka³³tʂʰa²¹	tɕi⁵⁵tsʰa²¹	dza²⁴tsʰa²¹	ka³³tsʰo²¹
322	enemy	敌人		ti³³ʐɛn³³	tsʰu⁴⁴tsʰɿ²¹	tsʰu²¹pʰɔ²¹sɿ⁵⁵	hə̃³³la²¹diɛ³³	kʰɨ²¹jo²¹	tsa⁵⁵kʰɨ⁵⁵jo³¹	
323	host	主人	*si²pʰa²		wu⁵⁵sɿ²¹pʰa²¹	i⁵⁵kə³³sɿ⁵⁵, ɕi²¹pʰɔ²¹	ja⁴⁴dʑy⁴⁴	ɕi⁵⁵pʰo²¹	ɛ²¹ɕi²⁴po̠ʔ²¹	
324	guest	客人	*se¹ɣe³	si⁵⁵ŋ̩²¹	se⁵⁵ɣɨ³³	ɕi⁵⁵mi²¹	tʂʰa²¹pɛi³³	sɛ⁵⁵vɛ³³	ɕi³³ve³³	sɿ⁵⁵vei³³
325	lame (a)	瘸子/跛子	*kʰi¹pʰa³							
325	lame (b)	瘸子/跛子	*kʰi¹pe³	kʰɨ⁵⁵tʰaŋ³³	kʰɨ⁴⁴pɛ²¹	tɕʰi⁵⁵tɛ²¹	kʰɨ⁴⁵tɛi²¹	pɛ²¹tɛ²¹	bɨʲ⁵³luŋ²⁴la³³ko²¹	kɛ˞³³vv̩²¹pai³³la²¹
326	official	官	*dzi²/³	a⁵⁵ɣɨ²¹a⁵⁵dzɿ³³	a⁴⁴dzɿ³³	sei³¹pʰɔ²¹, dzɿ²¹			va²⁴tɛ²¹	ɤ̪²¹
327	high official	大官	*dzi²/³		dzɿ²⁴di²⁴	sei³¹pʰɔ²¹ɣɛ²¹	ja³³ɣɛ˞²¹		va²⁴tɛ²¹ja³³ko²¹	ɤ̪²¹ɣɛ˞²¹
328	low official	小官	*dzi²/³		dzɿ²⁴u²⁴	sei³¹pʰɔ²¹ja⁵⁵	ja³³ɣɛ˞²¹tɛ˞³³zo²¹	wu⁵⁵ɕi⁵⁵	va²⁴tɛ²¹za⁵⁵ko²¹	ɤ̪²¹za²¹
329	emperor	皇帝	*vu¹te²	huaŋ²¹ti³³	dzɿ²¹	ɣɔ²⁴tɛ²¹pɔ²⁴	ja³³dzɿ³³mo³³	wu⁵⁵tɛ²¹	va²⁴tɛ²¹hwaŋ²¹ti²⁴	huan²¹ti³³
330	doctor	医生		ji³³sən³³	ji³³səŋ³³	ju³³sɛ²⁴	no²⁴ĩ⁵⁵sɨ⁵³	no⁵⁵ku³³su⁵⁵	na³³tɕʰi²¹ɕi⁵⁵po̠ʔ²¹	na³³ko³³su³³
331	blacksmith	铁匠/锻工		ɕy⁵⁵dɛ²¹sɿ⁵⁵	ɸu²⁴dɛ²¹sɿ⁴⁴	xə⁵⁵dɛ²¹sɿ⁵⁵	xu⁴⁵dɛ˞²¹	a⁵⁵tʰo²¹dɛ²¹su⁵⁵	xə²⁴dɛ³³po̠ʔ²¹	xɨ³³dai²¹su³³
332	soldier	兵/士兵	*me̠ᶫ	mɛ̠²¹pa̠²¹	me⁴⁴pa⁵³	mei⁴²			leŋ²⁴	mai⁵³
333	bride	新娘		kʰɨ²¹ma³³lɛ̠²¹xɨ̠²¹	kʰɨ²¹ma³³lei⁴⁴xɨ⁵³	tɕʰi²¹mɔ³³ɕi²¹	za²¹mɛ˞²¹xɨ³³mo³³	kʰɨ²¹mo³³xɨ²¹	kʰɨ²¹mo³³xɨʲ⁵⁵jo³¹	ma²¹nə³³xɨ⁵³
334	groom	新郎				mei⁴²ɣə²⁴ɕi²¹	zo²¹xɨ³³mo³³	mɨ²¹xɨ²¹	mɨ²⁴xɨʲ⁵⁵jo³¹	m̩²¹dzɛ³³xɨ⁵³
335	widow	寡妇	*mɛ²tʃʰu²ma³	lɛ̠³³ma³³	za²¹tʂʰʅ²¹ma³³	mɛ²¹tsʰɿ²¹mɔ³³	mɛ˞²¹tʂʰʅ²¹	mɛ²¹tʃʰu²¹mo³³	mɛ³³tsʰɿ²¹mo³³	mɛ˞²¹tsʰɿ²¹ma³³
336	widower	寡郎	*me²tʃʰu²pa̠ᶫ	lɛ̠³³pa̠²¹	ʐu⁴⁴pa⁵⁵te²¹	mɛ²¹tsʰɿ²¹pu⁴²	ʐu³³tʂʰʅ²¹	mɛ²¹tʃʰu²¹pɑ²¹	po³³tsʰɿ³³po̠ʔ²¹	mɛ˞²¹tsʰɿ²¹pa⁵³
337	blind (a)	盲;瞎子	*la³tɛ¹							
337	blind (b)	盲;瞎子	*ʔmje̠ᴴtɛ¹	ʔmɛ̠³³ɕa³³			mi⁴⁵ɕa³³	mɛ³³tɛ⁵⁵	mɨ³³tia⁵³ko²¹	mi⁵⁵tɛ˞³³
338	deaf	聋(子)	*ʔna²baŋ²	ʔna²¹bu²¹	na²¹bu²¹	na²¹ba²¹kʰə²¹	na²¹ba²¹	tʰa²¹	na³³tʰa⁵⁵ko²¹	na²¹bu²¹
339	father's father	爷爷	*a²pa¹	a⁵⁵ku³³	a²¹pa²⁴	a²¹pɔ⁵⁵	a²¹pu⁵³	a²¹po⁵⁵	a²⁴po²⁴	a²¹pa³³
340	father's mother	奶奶	*a²ne³	a⁵⁵ɲi³³	a⁴⁴nei³³	a⁵⁵nai³³	a³³nɛi³³	a⁵⁵nai²¹, a²¹pʰi²¹	a²⁴pʰi²¹	a⁵⁵nai³³
341	GP father	祖父	*a¹tsu²	a⁵⁵ku³³	a⁵⁵tsu²¹	a³³ma²¹	a³⁵ma²¹	a²¹po⁵⁵liŋ⁵⁵	a²⁴po²⁴leŋ⁵³	a⁵⁵tsu²¹pa⁵³
342	GP mother	祖母	*a¹maŋ²/tʰe¹	a⁵⁵mu²¹			a³⁵ma²¹	a²¹pʰi²¹liŋ⁵⁵	a²⁴pʰi²¹leŋ⁵³	a⁵⁵tsu²¹ma³³
342	GP mother	祖母	*a¹maŋ²/tʰe¹		a⁴⁴tʰai⁴⁴	a²¹tʰei⁵⁵	a³⁵ma²¹		a²⁴pʰi²¹leŋ⁵³	a⁵⁵tsu²¹ma³³
343	father	父亲	*a¹ba²	a⁵⁵ti³³	a⁴⁴ba²¹	a⁵⁵bɔ²¹	a³⁵je²¹	a⁵⁵bə²¹	ao³¹	a⁵⁵tiɛ³³
344	mother	母亲	*a¹ma³	a⁵⁵ma³³	a⁴⁴ma³³	a⁵⁵mɔ³³	a³³mo³³	mə³³	mo³¹	a³³ma⁵³
345	wife's father	岳父	*ʒo̠ᶫpʰa²	ʐo̠²¹pʰḁ²¹	ʐu⁵⁵pʰa²¹	ju⁴²pʰɔ²¹	ʐu³³pʰo²¹	o³³vi⁵⁵	ao³¹	zu⁵⁵pa⁵³
346	wife's mother	岳母	*ʒo̠ᶫma³	ʐo̠²¹ma³³	ʐu⁵⁵ma³³	ju⁴²mɔ³³	ʐu³³mo³³	o³³ni⁵⁵	mo³¹	zu⁵⁵ma³³
347	older brother	哥哥	*a¹ka³	a⁵⁵ka³³	a⁴⁴ka³³	a⁵⁵kɔ³³	a³³ko³³	a²¹a⁵⁵	a²¹zu²⁴	a⁵⁵kɨ³³
348	older sister	姐姐	*a¹tse²	a⁵⁵tsi̤²¹	a⁵⁵tse²¹	a⁵⁵tɕi³³	a³⁵tse²¹	a⁵⁵tɕi³³	tɕi²¹	a⁵⁵tɕiɛ²¹
349	younger brother of a female	弟弟	*pʰa²maŋ¹							
349	younger brother of a male	弟弟	*ɲe¹za²	ɲɛ⁵⁵za̤²¹	ne²⁴za²¹	a⁵⁵tʰei³³	ɲɛ˞²⁴zo²¹	ɲɛ⁵⁵jo²¹	nɛ³⁵jo²¹	ja³³tʰai³³zu⁵⁵pa⁵³
350	younger sister of a female		*ɲe¹ma³	ɲi⁵⁵ma³³	ny²¹ma³³	niɛ²⁴mɔ³³	ɲɛ˞²⁴mo³³	ɲɛ⁵⁵mo³³	nɛ²⁴mo³³	
350	younger sister of a male	妹妹	*ʔny²ma³		ne²⁴ma³³					ja³³tʰai³³za²¹mɛ˞²¹
351	siblings	兄弟姐妹		n̩⁵⁵ʔny⁵⁵	ne²⁴za²¹ne²⁴ma³³	vei⁴²niɛ²⁴tsʰa²¹zɔ³³	a³³tsɿ³³ɲɛ˞²⁴mo³³	ɲɛ⁵⁵jo²¹ɲɛ⁵⁵mo³³	pʰɨ²¹nɛ²⁴nɛ²¹mo³³	a⁵⁵kɨ³³a⁵⁵tʰai³³
352	oldest sibling	老大			za²¹ɣɛ²¹		pa²¹tɛi²¹			a⁵⁵mɛ˞²¹
353	second sibling	老二			za²¹lɛ⁵³					ɛ˞³³mɛ˞²¹
354	third sibling	老三								sa³³mɛ˞²¹
355	husband	丈夫	*dʒɛ¹	ŋ̩²¹dʑɛ⁴⁵	n̩²¹dʐɛ²⁴	n̩²¹sɿ⁵⁵pʰɔ²¹	n̩³⁵dʐɛ˞³⁴	n̩²¹dʑɛ⁵⁵	ŋ̩²¹dʑɛ²⁴	m̩²¹dzɛ³³
356	wife	妻子	*mɛ²ʔny¹	ma̠²¹ʔny⁵⁵	mɑ²¹ny²⁴	tɕʰi²¹mɔ³³	mɛ˞²¹ny⁴⁵³	n̩²¹nə⁵⁵	ni²⁴	mɛ˞²¹nə³³
357	son	儿子	*za²	za̤²¹	za²¹	zɔ²¹	zo²¹	jo²¹, zo²¹	zo²¹pʰv̩²⁴	za²¹
358	daughter	女儿(姑娘)	*za²mɛ²	zɛ̤²¹mɛ̤²¹	za²¹mɛ²¹	zɔ²¹mɛ²¹	za²¹mɛ˞²¹	jo²¹mɛ²¹, zo²¹mɛ²¹	zo³³mɛ²¹	za²¹mɛ˞²¹
359	daughter-in-law	儿媳(媳妇)	*kʰɨ²ma³	kʰɨ²¹ma³³	kʰɨ²¹ma³³	zɔ²¹tɕʰi²¹mɔ³³	kʰɨ²¹mo³³	kʰɨ²¹mo³³	kʰɨ²¹mo³³	kʰɨ²¹ma³³
360	son-in-law	女婿	*ʔme̠ᶫɣo¹	mɛ̠²¹v̩⁵⁵	me⁵⁵vv̩³³	mei⁴²ɣə²⁴	mɛi³³vv̩˞²⁴	mɨŋ²⁴	mɨ²⁴	mei⁵⁵vv̩³³
361	brother's son	侄子	*za²du¹	za̤²¹də⁴⁵	za²¹dv̩²⁴	su⁴²dɤ̪²⁴	zo²¹dv̩˞²⁴	da⁵⁵du²¹	duʲ³⁵jo⁴²	za²¹do³³
362	brother's daughter	侄女	*za²mɛ²du¹	zɛ̤²¹mɛ̤²¹də⁴⁵	za²¹mɛ²¹dv̩²⁴	su⁴²mɔ³³	za²¹mɛ˞²¹dv̩˞²⁴	da⁵⁵mo³³	du²⁴mo³³	za²¹mɛ²¹do³³
363	sister's child	外甥/外甥女	*ʃa̠ᶫ	sa̠²¹		su⁴²dɤ̪²⁴				
364	son's son	孙子	*ʔli²pa̠ᶫ	ʔʐʅ²¹pa̠²¹	li²¹pa⁵³	li²¹pu⁴²	ʐʅ²²po³³	lu²¹pɑ̠²¹	li³³poʲ⁴²jo³¹	i²¹za²¹
365	son's daughter	孙女	*ʔli²ma³	ʔʐʅ²¹ma³³	li⁴⁴ma³³	li²¹mɔ³³	ʐʅ²²mo³³	lu²¹mo³³	li²¹moʲ³³jo³¹	i²¹ma³³
366	ancestor	祖先	*pʰi²pʰa²	a²¹fi²¹a²¹pʰa²¹	tsʰɿ²¹pʰa²¹	pʰɔ²¹pʰɔ²¹	nɛi²¹tsʰɿ²¹	a²¹pʰi²¹a²¹po⁵⁵	ni²⁴tʰa²⁴tsʰa⁵⁵ma²¹	pʰi²¹pʰa²¹
367	father's OB	伯父	*ta⁵⁵tiɛ³³	pa²¹ti̤²¹	ta⁴⁴ta⁴⁴	a⁵⁵ta⁵⁵	ta⁵⁵ti³³	a⁵⁵jɛ²¹	a²⁴jɛ²¹	ta⁵⁵tiɛ³³
368	father's BW	伯母	*ta⁵⁵ma³³	pa²¹ti̤²¹ma³³ko³³	ta⁴⁴ma³³	a⁵⁵ta⁵⁵mɔ³³	ta⁵⁵ma³³	a⁵⁵jɛ²¹mo³³	a²⁴mo³³	ta⁵⁵ma³³
369	father's OS	姑妈	*ku³³ma³³	ku³³ma³³	ku³³ma³³	a⁵⁵ni⁵⁵	a²¹pa³³ja³³	a⁵⁵ti²¹tɕi³³	a²⁴mo³³	ku³³ma³³
370	father's YB	叔叔	*a¹ʒe³	a⁵⁵ʝi²¹	a⁴⁴ji³³	a⁵⁵ʝi³³	a⁴⁴ʝi³³	a⁵⁵jɛ²¹	a²¹va²⁴	a⁵⁵ʝei³³
371	mother's OB	舅舅		a⁵⁵tɕo⁵⁵	a⁴⁴tɕiu⁴⁴	a⁵⁵tɕo⁵⁵	a⁴⁴tɕiu⁴⁴	a⁵⁵tɛ²¹	a²¹ɣɨ²⁴	a²¹tɕo⁵³
372	mother's OS	姨母		ta⁵⁵ma³³	ʝi²⁴mɑ³³	a⁵⁵dɔ²¹mɔ³³	a²¹pa³³ja³³	a⁵⁵ma²¹	a²¹ni²⁴	ji²¹ma³³
373	male suffix	公的	*jaŋ²pa̠ᶫ	pa̠²¹	pa⁵³	ja³³pu⁴²	ja³³po³³mo³³	jɛ²¹pɑ̠²¹	ɛ²¹pʰv̩²⁴,ɛ³³po̠ʔ²¹	ja²¹pa⁵³
374	female suffix	母的	*jaŋ²ma³	ma³³	ma³³	ja³³mu³³ku³³	ja³³mu³³ku³³	jɛ³³mo³³	ɛ²¹mo³³	ja²¹ma³³
375	father+children (CLF)	三父子	*pa̠ᶫla²	pa̠²¹la̤²¹	pa⁵⁵la²¹	pu⁴²lu²¹	pʰo²¹lo²¹	pɑ̠²¹lɑ²¹	a²⁴vo³³zo²¹	pa⁵⁵la²¹
376	mother+children (CLF)	三母子	*ʔma³la²	ʔma³³la̤²¹	ma³³la²¹	mɔ³³lɔ²¹	mo³³lo²¹	mo³³lo²¹	a³³mo³³zo²¹	ma⁵⁵la²¹
377	grandparent+grandchildren (CLF)	三爷孙	*pi²la²	pi²¹la̤²¹	tsɿ²¹la²¹	pʰi²¹lɔ²¹	tsʰo²¹lo²¹		a²⁴po²⁴li³³puɛ⁴²jo²¹	pʰi²¹li²¹
379	house	房子	*he¹	hi⁵⁵	hẽ²⁴	xei⁵⁵	hĩ³⁵kɛ˞⁵³	xɛ⁵⁵	xĩŋ²⁴	hei⁴⁴
380	home	家	*he¹ko³	hi⁵⁵kə³³	hẽ²⁴kɤ³³lɛ³³	xei⁵⁵kə³³	hĩ⁴⁵³	o²¹xɛ⁵⁵	xĩŋ²⁴ka²⁴	hai⁴⁴kɤ³³
381	wall	墙壁	*lu¹di³	lu⁵⁵di³³	lu²⁴di³³	lu²⁴ti³³bɔ⁴²	tɕʰiaŋ²¹bo²¹	lu⁵⁵liŋ³³tɛ²¹	saŋ²¹	tɕʰiaŋ²⁴
382	roof	房顶	*he¹dzi³		hẽ²⁴dzɿ³³	xeĩ⁵⁵ŋ̩²¹tʰei²¹	hĩ³⁵dzɿ³³	xɛ⁵⁵ɲo³³	xĩŋ²⁴te²⁴	hei⁴⁴ma³³dzɿ²¹
383	tile (ceramic)	瓦片	*ŋwɛ²pʰe²	vɛ̤²¹	vɛ²¹	ŋɛ²¹	ɛi²¹tsʰɿ²¹pɛ˞³³	bəm²⁴pʰɛ²¹	bəŋ²¹	
384	beam (main)	梁(主)		li⁵⁵mu⁵⁵kaŋ³³		wa²¹tə²¹	liaŋ²¹	a⁵⁵tʃa⁵⁵mo³³	tə⁵⁵lə²¹	liaŋ³¹
385	beam (small)	梁(小)	*he¹du²	hi⁵⁵dv̩²¹	hẽ²⁴du²¹	wa²¹	hĩ³⁵dɨ˞²¹	a⁵⁵tʃa⁵⁵jo²¹	liaŋ³¹	hein⁴⁴dɤ̪²¹
386	post	柱子(大)		zɿ³³kʰə⁵⁵dzɿ³³	vɛ³³dzɿ²¹	tsə⁵⁵	zɿ²⁴mo³³	tɕi⁵⁵kʰu⁵⁵	ɕi³³kʰu²⁴	tso²¹zɿ³³
387	door	门	*a¹kʰjɛ²/ᶫ	a⁵⁵kʰai̠²¹	a⁵⁵kʰɛ²¹	a⁵⁵kʰɛ²¹	a³⁵kʰɛ˞²¹	a⁵⁵ku³³kʰi²¹	a³³gu³⁵kʰi³¹	a⁵⁵kʰɛ˞²¹
388	room	房间	*hi¹kɛ³	hi⁵⁵ka³³	py²⁴ta³³kɛ⁴⁴	xei⁵⁵tsɿ²¹kɛ³³		xɛ⁵⁵na³³	xĩŋ²⁴ku³³nəŋ⁵³	pɛ˞⁵⁵ta³³
389	fire pit	火塘	*a¹to̠ᶫbe̠ᶫ	a⁵⁵to̠²¹bɛ̠²¹	a⁴⁴tu⁴⁴lu⁴⁴be⁵³	a⁵⁵tu⁴²bei⁴²	a³³tu³³bɛi³³	a⁵⁵to²¹kʰu²¹pɨ⁵⁵	a²⁴tu̠ʔ³¹kʰu³³bi²¹	a⁴⁴tu⁴⁴bei⁵³
390	charcoal	木炭	*sa²ŋi²	sɛ²¹n̩²¹tsʰɿ²¹	sa²¹n̩²¹tɛ⁵³	sa²¹ŋɛ²¹	sa²¹ɲi²¹	sɛŋ²¹kʰi²¹	ɕi²¹kʰɛ³³	sa²¹mi²¹
390	charcoal	木炭	*sa²ŋi²	sɛ²¹n̩²¹tsʰɿ²¹	sa²¹n̩²¹tɛ⁵³	sa²¹ŋɛ²¹	sa²¹ɲi²¹	sɛŋ²¹kʰi²¹	ɕi²¹kʰɛ³³	sa²¹mi²¹
391	field; wet field	田(稻田)	*de¹mi¹	tɕʰi⁵⁵mi⁵⁵	ti²⁴mi³³	tɕʰi⁵⁵tɛ⁵⁵mi³³	di²⁴mv̩˞⁴⁵³	dɛ⁵⁵	dɛ³³	ti³³mi³³
392	dry field	田(旱田)	*mi¹bɛ¹	mi⁴⁵	mɛ²⁴ba³³	xɔ⁵⁵da³³mi²⁴	m̩³⁵bɛ˞³³	kʰu⁵⁵dza²¹dɛ⁵⁵	mi²⁴kʰa²¹	m̩³³bɛ˞³³
393	garden	菜园	*ɣaŋ²(kʰy¹)mi¹	wu²¹mi⁴⁵	wv̩²¹mɛ²⁴	ja²¹kʰə⁵⁵mi³³	ɣa²¹tɕi³³mv̩˞⁴⁵³	ɣa²¹mi⁵⁵	kʰəŋ²⁴ka²⁴	kʰei³³ka³³
394	pen; fold	圈(牛圈)	*by¹	by⁵⁵	by²⁴	bə²⁴xei⁵⁵	by²⁴	bɨ⁵⁵, kʰo³³	kʰo³³	bə³³
395	granary	仓(装粮食的柜子)	*gɨ¹tʰu²	ha⁵⁵sɛ²¹gɨ²¹tʰə²¹	ka⁴⁴	gɤ̪²¹	ɣa²⁴	dʒo⁵⁵ka²¹	xio⁵³	
396	shrine	庙	*ne²he¹	ŋ̩²¹hi⁵⁵	nɛ²¹hẽ²⁴	kɛ⁵⁵pei⁵⁵xei⁵⁵	nɛi²¹hĩ⁵⁵mo³³	va²¹	va̠³¹	nai²¹hei³³
397	tomb	坟墓	*mo̠ᴴ/ᶫbɛ¹	mo̠²¹bɛ⁵⁵	mv̩⁴⁴bɛ³³	mu⁴²bɛ²⁴	mo²⁴bɛ˞²⁴	liŋ²¹dʒo⁵⁵	li²¹dzu³³	m̩⁵⁵bɛ˞³³
398	graveyard	墓地	*mo̠ᴴ/ᶫbɛ¹kʰy¹	mo̠²¹bɛ⁵⁵kʰy⁵⁵		mu⁴²bɛ²⁴kʰə⁵⁵				
