No.	Gloss	Proto-Karenic (Luangthongkum 2019)	Proto-Karenic (Burling 1969)	Northern Pa-O	Southern Pa-O	Kayan	Kayah	Western Bwe	Kayaw	Northern Sgaw	Southern Sgaw	Northern Pwo	Southern Pwo	Page	Notes
101	eight	*khrɔtᴰ/*grɔtᴰ	*xoɁ¹	sət²¹	sɔt²¹	chauɁ⁴⁵	-	-	-xɔ¹¹	xɔɁ⁴⁵	xoɁ²¹	xoɁ²¹	xuɁ⁴⁵	xxiv	The D3 tone in NK and Pwo suggests *gr- while the D12 tone in Kayan and Sgaw indicates *khr-.
102	elephant	*k-chaŋᴬ	*chaŋ⁴	chaŋ³¹ ̈	chaŋ³¹ ̈	chaŋ⁵³	chɛ³³	(gə) ʃa⁵⁵	rɔ¹¹chɔ⁵⁵	kə¹¹chɔ³³	kə¹¹chɔ⁵⁵	ka¹¹chɛ̃³⁵	kə¹¹chɔ̃⁵³	xxiv	
103	embrace, hug	* phɔɁᴰ	*phoɁ²	phɔɁ²¹	-	-	phɛ⁵⁵	phɔ³³	pho³³	phɔɁ⁴⁵	phoɁ²¹	phoɁ⁴⁵	phuɁ²¹	xxiv	
104	enter	*n( )Ɂᴰ	*nyɁ¹	-	nəɁ⁴⁵	-	no³³	nu¹¹	nu³³	nɨɁ²¹	nəu¹¹ ̈	naəɁ²¹	-	xxv	
105	exert forcing to expel	*chuNᴬ		chən³¹ ̈	chuə̯m³¹ ̈	chwaŋ⁵³	chɨ³³	-	chu⁵⁵	chu³³	-	-	-	xxv	
106	extinguish (t.v.)	*p/biɁᴰ	*phiɁ¹	peɁ²¹	piɁ²¹	pɨɁ²¹	pi³³	bɪ¹¹	pi³³	phiɁ⁴⁵	pai¹¹ ̈	phaiɁ²¹	phaiɁ⁴⁵	xxv	Pa-O and N.Sgaw have tone D12 which suggests *p- in PK.
107	eye, face	*mɛɁᴰ	*mɛɁ¹	mɛɁ⁴⁵	mɛɁ⁴⁵	-	-	-	-	mɛɁ²¹	mɛ¹¹ ̈	meɁ²¹	meɁ⁴⁵	xxv	
108	fall down	*dɛɁᴰ		thɛɁ⁴⁵	tɛɁ⁴⁵	tɛɁ²¹	ta³³	de¹¹	te³³	tɛɁ²¹	tɛ¹¹ ̈	theɁ²¹	theɁ⁴⁵	xxv	
109	fat (adj)	*Ɂbluŋᴮ		pləŋ⁵⁵	pwəŋ³³	bwaŋ¹¹	bɨ¹¹	ɓʊ³³	bu¹¹	bɔ³¹῀	bɔ⁴⁵’	bɑ̃³³	bõ⁵⁵	xxv	
110	feather, fur, body hair	*chuNᴮ	*chɔn²	chən⁵⁵	chuə̯m³³	chwaŋ¹¹	ɕɨ¹¹	ʃʊ³³	ɕu¹¹	chu³¹῀	chu⁴⁵’	chɑ̃³³	chõ⁵⁵	xxv	
111	feel full (after eating)	*kəɁᴰ	*kaɁ²	kəɁ²¹	kəɁ²¹	kəɁ⁴⁵	kɔ⁵⁵	-	kə³³	-	-	kaəɁ⁴⁵	-	xxv	
112	female, woman	*hmɨᴮ	*my²	mɨ⁵³	mɨ³³	mɨ¹¹	mɔ¹¹	mo³³	mɨ¹¹	mɨ³¹῀	mɨ⁴⁵’	mə̯ɨ³³	mɨ⁵⁵	xxv	
113	female (humans), mother	*muᴮ	*mo¹	mu⁵³	mu⁵⁵	mu¹¹	mu¹¹	bo¹¹ mu⁵⁵	mu¹¹	mo¹¹ ̈	mu³¹	mu¹¹	mu³³	xxv	
