no.	gloss	Akha Chicho	Akha Buli
68	to stop	tʰɤŋ⁵⁵dʑɔ⁵⁵	na²¹, ʥɔ⁵⁵
69	to run	tɕi⁵⁵tɕʰø²¹tɕʰø²¹	la̰²¹dzɛ³³dzɛ³³
70	to sit	dɔ²¹nɤ⁵⁵nɤ⁵⁵	dɔ²¹nɤŋ⁵⁵nɤŋ⁵⁵
71	to stand up	ɣɔ²¹jɔ²¹jɔ²¹	jɔ̰²¹tʰu⁵⁵
72	to cough	u²¹tsʰø²¹tsʰø²¹	u²¹tsʰø²¹tsʰø²¹
73	one	tḭ³³	tḭ²¹
74	two	ȵḭ²¹	ȵḭ²¹
75	three	suŋ⁵⁵	sm⁵⁵
76	four	o̰²¹	ø̰²¹
77	five	ŋa²¹	ŋa²¹
78	six	kɔ̰²¹	ko̰²¹
79	seven	ɕḭ³³	ɕḭ²¹
80	eight	jɛ̰³³	jɛ̰²¹
81	nine	ɣø²¹	ɣø²¹
82	ten	tsʰe⁵⁵	tsʰɛ⁵⁵
83	eleven	tsʰe⁵⁵tḭ³³	tsʰɛ⁵⁵tḭ²¹
84	twelve	tsʰe⁵⁵ȵḭ³³	tsʰɛ⁵⁵ȵḭ²¹
85	twenty	ȵḭ³³tsʰe⁵⁵	ȵḭ²¹tsʰɛ⁵⁵
86	ninety nine	ɣø²¹tsʰe⁵⁵ɣø²¹	ɣø²¹tsʰɛ⁵⁵ɣø²¹
87	one hundred	tʰi³³ja⁵⁵	tʰi²¹ja⁵⁵
88	one hundred and one	tʰi³³ja⁵⁵tḭ³³	tʰi²¹ja⁵⁵a²¹ta̰³³tḭ²¹
89	one hundred and ten	tḭ²¹ja⁵⁵tsʰe⁵⁵	tʰi²¹ja⁵⁵a²¹ta̰³³tsʰɛ⁵⁵
90	one thousand	tʰi³³ba²¹	tʰi²¹ba²¹
91	ten thousand	tsʰe⁵⁵ba²¹	tsʰɛ⁵⁵ba²¹
92	one hundred thousand	tʰi³³sɛ⁵⁵	tsʰɛ⁵⁵mɯn⁵⁵
93	one million	tʰi³³la²¹	tsʰɛ⁵⁵sɛ³³
94	many	ɣɔ³³mja⁵⁵ȵi⁵⁵	jɔ³³mja²¹
95	few	jɔ³³ȵi⁵⁵	jɔ³³ʨḭ³³, jɔ³³tɛ̰²¹
96	all	dɔ³³tɔ⁵⁵ȵi⁵⁵	ma⁵⁵to⁵⁵(ma²¹)lo̰²¹, ʥi⁵⁵ʨʰo²¹lo²¹
97	only	~tɛ̰³³	tʰi²¹ɣa²¹(tɛ̰²¹) (one person)
