No.	Category no.	Semantic category	Gloss	Proto-Tibeto-Burman
1780	1.8.8.1	Laugh/Smile	laugh	*s(y)aw
1116	1.8.8.1	Laugh/Smile	laugh	*b/d/r-gwat
1103	1.8.8.2	Cry/Weep	weep	*krap
1104	1.8.8.2	Cry/Weep	weep	*ŋəw
1781	1.8.8.2	Cry/Weep	weep	*kwar
5588	1.8.8.2	Cry/Weep	weep / wail	*kuːk
3418	1.8.8.4	Whistle	whistle	*s-yu(s/y)
1168	1.9.1	Egg	egg / bird / round object	*pʷu
301	1.9.1	Egg	egg / bird	*ʔu
1654	1.9.1	Egg	egg	*pu
1275	1.9.1	Egg	ball / egg / round object	*pu
300	1.9.1	Egg	egg / testicle	*d(w)əy
1181	1.9.1	Egg	egg / testicle	*d(i/u)l
1609	1.9.1	Egg	egg	*m/s-tow
3436	1.9.1	Egg	egg	*dz(y)u
3438	1.9.1	Egg	egg	*(r/l)um
1607	1.9.1	Egg	egg	*si(r/t)
305	1.9.1	Egg	egg / testicle	*s/r-gwa-ŋ
1610	1.9.1	Egg	egg / hatch	*s-ŋa
646	1.9.1	Egg	egg / testicle	*t-lam
3437	1.9.1	Egg	egg / testicle	*k(r/w)ak
304	1.9.1	Egg	egg / sit on eggs / hatch / testicle	*pʷum
3487	1.9.1	Egg	break out / break off / hatch	*(p/b)ay
1234	1.9.1	Egg	hatch / brood on eggs / sit on	*s-mu
3488	1.9.1	Egg	hatch (egg)	*(p/b)uk
3434	1.9.1	Egg	hatch / lay egg	*ʔa
1172	1.9.1	Egg	egg / nit	*s-row
70	1.9.2	Birth	born / birth	*braŋ
97	1.9.2	Birth	born / birth / rear	*hu
1811	1.9.2	Birth	born / birth / bud / bloom	*ʔ-bu ~ *pu
95	1.9.2	Birth	born / give birth	*s-kya-y
1863	1.9.2	Birth	bear a child / born	*b-na
1813	1.9.2	Birth	give birth / conceive / create	*mun
1865	1.9.2	Birth	rear / bear (child)	*g-sow
1864	1.9.2	Birth	give birth	*naŋ
3480	1.9.2	Birth	born / give birth	*(p/b)(i/u)k
3482	1.9.2	Birth	give birth	*wat
3484	1.9.2	Birth	give birth	*ra
3485	1.9.2	Birth	give birth	*sut
92	1.9.2	Birth	born / breath / life	*(k/g)ak
90	1.9.2	Birth	small / inferior / offspring	*m/s-ŋa-y
20	1.9.2	Birth	live / alive / born / give birth / green / sprout	*kruŋ
71	1.9.2	Birth	live / alive / green / raw / give birth	*s-riŋ ~ *s-r(y)aŋ
4135	1.9.2	Birth	carry (close to the body) / be pregnant	*pay
518	1.9.3	Navel	navel	*m/s-la(ː)y ~ *s-tay
517	1.9.3	Navel	navel / center / self	*m/s-la(ː)y
519	1.9.3	Navel	navel / abdomen / center / self	*s-tay
525	1.9.3	Navel	navel / umbilical cord / rope	*kyak
520	1.9.3	Navel	navel / umbilical cord	*du
529	1.9.3	Navel	navel	*nin
3584	1.9.3	Navel	middle / center / inside / navel	*(t/d)uŋ ~ *ts(y)uːŋ
3447	1.9.3	Navel	middle / navel	*(t/d)uŋ ~ *(t/d)waŋ
1628	1.9.3	Navel	navel / center	*ts(y)uːŋ
526	1.9.3	Navel	navel	*(t)sum
528	1.9.3	Navel	navel / umbilical cord	*bryam ~ *brim
527	1.9.3	Navel	navel	*br(w)ak
659	1.9.3	Navel	cord / umbilical cord / navel	*zu
1629	1.9.3	Navel	string / strap / belt	*bi
3497	1.9.3	Navel	cord / string	*r(u/i)p
533	1.9.3	Navel	obscure internal channel / cord / string / creeper / cane / rattan	*rey ~ *s-rwi(y)
5536	1.9.4	Breast	suck / kiss / breast / milk	*dz(y)wap ~ *ts(y)wap
5541	1.9.4	Breast	suck / kiss / breast / milk	*m-ts(y)(u/i)p
5537	1.9.4	Breast	suck / kiss / breast / milk	*dzyut
5540	1.9.4	Breast	suck / kiss / breast / milk	*tsyuk ~ *dzyuk
5539	1.9.4	Breast	suck / kiss / breast / milk	*dzy(ə/o)w
3585	1.9.4	Breast	breast / milk / suck	*s-nəw(-)
253	1.9.4	Breast	breast / milk / suck	*s-nəw
3586	1.9.4	Breast	breast / milk / suck	*s-nəw(t/n)
259	1.9.4	Breast	breast / milk	*s-nəw(k/ŋ)
254	1.9.4	Breast	breast / milk / suck	*s-nya-n
3459	1.9.4	Breast	breast / nipple / milk	*pa
3450	1.9.4	Breast	kiss / suck / suckle	*m-pup ~ *pip
3461	1.9.4	Breast	breast / milk	*m-bawŋ
3457	1.9.4	Breast	breast	*mam
3462	1.9.4	Breast	breast / suck / drink	*s(y)awk
3458	1.9.4	Breast	breast	*s-lwaŋ
3464	1.9.4	Breast	suckle / milk / breast	*wa
3374	1.9.4	Breast	breast / milk	*kwam
3463	1.9.4	Breast	breast / chest	*b(y)at
3465	1.9.4	Breast	wring / squeeze	*tsyir ~ *tsyuːr
502	1.9.4	Breast	drink / suckle	*m/s-tuŋ
3451	1.9.4	Breast	hold in mouth / chew / eat / kiss	*m-ʔum ~ *mum
3452	1.9.4	Breast	kiss / suck	*dum
276	1.9.4	Breast	rounded part / nipple / forehead / shoulder	*(p/b)i
1787	1.9.4	Breast	break / wean	*(p/b)rat
661	1.9.5	Vagina	vagina / vulva	*s-tu
3589	1.9.5	Vagina	vulva / vagina / mouth / lip	*dzyuk ~ *tsyuk
1356	1.9.5	Vagina	vulva	*dzyuk ~ *tsyuk
478	1.9.5	Vagina	mouth / lip	*tsyuk
1349	1.9.5	Vagina	vagina	*si(ŋ/k)
686	1.9.5	Vagina	mouth / lip	*si(ŋ/k)
667	1.9.5	Vagina	vagina / clitoris / mouth / lip	*tsyin
662	1.9.5	Vagina	vagina	*b(y)at
664	1.9.5	Vagina	vagina	*(h/k)ay
1354	1.9.5	Vagina	vagina / copulate	*tsya
1616	1.9.5	Vagina	vagina	*li-n
668	1.9.5	Vagina	vagina	*pu
3430	1.9.5	Vagina	vagina / copulate	*tsyum
3429	1.9.5	Vagina	vagina	*wyan
3431	1.9.5	Vagina	vagina / clitoris	*syaŋ
1626	1.9.5	Vagina	clitoris	*tsaŋ
1352	1.9.5	Vagina	clitoris / vagina	*s/m-ti
3432	1.9.5	Vagina	hole	*huŋ
670	1.9.6	Womb	womb / placenta	*s-b-rum
680	1.9.6	Womb	womb / placenta	*s-lam
674	1.9.6	Womb	womb / placenta / belly / stomach / nest	*pʷam
2108	1.9.6	Womb	belly / womb / placenta / nest	*wam
673	1.9.6	Womb	womb / placenta / nest	*pam
137	1.9.6	Womb	belly / stomach / waist	*pʷam
3444	1.9.6	Womb	womb / placenta / nest	*mam
677	1.9.6	Womb	womb / placenta / pregnant	*(b/p)a(ː)y
675	1.9.6	Womb	womb / placenta	*m/l-ŋal
679	1.9.6	Womb	womb / placenta / nest	*tsat
1733	1.9.6	Womb	nest / womb / placenta	*r/m-bu ~ *pru
1615	1.9.6	Womb	nest / womb / placenta	*tsaŋ
1632	1.9.6	Womb	nest / uterus / amniotic sac	*r-ku ~ *kru
1651	1.9.6	Womb	womb / placenta / umbilical cord	*tsyul ~ *tsywal
3445	1.9.6	Womb	nest / womb	*twaŋ
1613	1.9.6	Womb	nest / womb / scrotum	*(t)s(i/u)p
1611	1.9.6	Womb	nest / womb / placenta	*kʷəy
672	1.9.6	Womb	uterus / placenta / cradle / nest	*k-yaŋ
471	1.9.6	Womb	mouth / vessel / womb	*s-nwat ~ *s-nut
1612	1.9.6	Womb	house	*k-y(i/u)m
1647	1.9.6	Womb	copulate / love	*lyap ~ *rap
1285	1.9.7	Penis	penis	*m-(l/n)ey ~ *m-li
1284	1.9.7	Penis	penis	*m-ley ~ *m-li
545	1.9.7	Penis	penis	*m-ney
1283	1.9.7	Penis	penis / testicle / stinger (of bee)	*m-yaŋ
3420	1.9.7	Penis	penis	*k-tu-k
3423	1.9.7	Penis	penis	*tsu
641	1.9.7	Penis	penis	*ti-k
1601	1.9.7	Penis	penis	*dzi
3425	1.9.7	Penis	penis	*m-bay
3426	1.9.7	Penis	penis	*pwat
3492	1.9.7	Penis	scrotum	*pwak
3421	1.9.7	Penis	penis / clitoris / long	*tyaŋ
547	1.9.7	Penis	son-in-law / genitals / penis / male / vagina	*maːk
548	1.9.7	Penis	penis / copulate	*s-nyak ~ *s-nik
1638	1.9.7	Penis	penis / male / husband	*b/m-laŋ
1637	1.9.7	Penis	penis / male	*gaŋ
1640	1.9.7	Penis	male / penis	*s-kyu
642	1.9.7	Penis	testicles / penis / virility / semen	*səw-t
1286	1.9.7	Penis	testicle / egg / penis	*r-lik
3439	1.9.7	Penis	testicle / egg	*syan
3471	1.9.7	Penis	scrotum / pouch / male (of animals)	*s-blwaŋ
685	1.9.7	Penis	seed / testicle / round object	*s-mu
3559	1.9.7	Penis	seed / testicle / round object	*dzəy
1110	1.9.7	Penis	ball / egg / testicle / eyeball	*ka
1617	1.9.7	Penis	pouch / basket / scrotum	*kuk
643	1.9.7	Penis	bag / scrotum	*ʔip ~ *ʔiːt
1624	1.9.7	Penis	male	*la
796	1.9.7	Penis	forepart / foreskin	*m-(t/d)un
3590	1.9.7	Penis	round object / seed / nut / testicle	*tsyaŋ
1160	1.9.8	Copulate	copulate / make love / love / gentle	*ŋ-(w)aːy
1646	1.9.8	Copulate	copulate / love / want	*r/m/d/s-ga
1643	1.9.8	Copulate	love	*m-dza-k
1645	1.9.8	Copulate	love / copulate	*kri(k/ŋ)
1154	1.9.8	Copulate	copulate	*ləw-k
3476	1.9.8	Copulate	love / desire / want	*duk ~ *tu
3470	1.9.8	Copulate	copulate	*ywa
3475	1.9.8	Copulate	love / desire / copulate	*yaŋ
3473	1.9.8	Copulate	copulate / connect	*m-brel
1359	1.9.8	Copulate	copulate / love / womb	*m-ba(k/ŋ)
3494	1.9.8	Copulate	copulate / love	*(t)si
3472	1.9.8	Copulate	copulate / love	*la
3477	1.9.8	Copulate	love	*saw
1614	1.9.9	Body Fluids	semen	*(r/w)a
1627	1.9.9	Body Fluids	semen	*ŋya
1631	1.9.9	Body Fluids	water / liquid / body fluid	*tsyu
298	1.9.9	Body Fluids	water / fluid / liquid / river / soak / spit	*m-t(w)əy-n ~ *m-ti-s
188	1.9.9	Body Fluids	semen / body fluid	*ku
1013	1.9.9	Body Fluids	water / liquid / bodily fluid	*rəy
191	1.9.9	Body Fluids	water / fluid / river / valley	*laŋ
1155	1.9.10	Genitals/Pudenda	mark / badge / genitals	*m-tsan
1618	1.9.12	Female	female / girl / feminine suffix	*mi
1619	1.9.12	Female	female / mother / principal part / feminine suffix	*ma
1623	1.9.12	Female	mother / female	*k/m-na
1621	1.9.12	Female	female / mother	*n(y)u
1620	1.9.12	Female	woman / female relative / feminine suffix	*mow
5493	1.9.12	Female	female / daughter	*la(ː)
6134	1.9.12	Female	mother / grandmother / maternal aunt	*(y/ʔ)ay
5595	1.9.12	Female	woman	*nya-ŋ/k
1634	1.9.13	Male	male / father / 3p pronoun	*p/ba
1635	1.9.13	Male	male / masculine suffix	*pu
1383	1.10	Mind	heart / liver / mind	*m/b-yit
2630	2.1.1	Rodents	rat	*rwak
2663	2.1.1	Rodents	squirrel / weasel	*s-(l/r)e(y/ŋ)
2186	2.1.1	Rodents	rat (bamboo rat)	*bwəy
2796	2.1.1	Rodents	rat / rabbit / hare	*b-yəw-n
7427	2.1.1	Rodents	porcupine (brush-tailed~)	*s-byak
5429	2.1.1	Rodents	porcupine / hedgehog	*s-blu
5910	2.1.1	Rodents	squirrel / weasel	*C-ra(t)
2538	2.1.2	Bovine	cattle	*ŋwa
3318	2.1.2	Bovine	ox / bullock / elephant	*glaŋ
2427	2.1.2	Bovine	buffalo	*lwaːy
2170	2.1.2	Bovine	wild yak / buffalo	*brawŋ
5607	2.1.2	Bovine	cattle	*muk
5830	2.1.2	Bovine	yak (female)	*(b/g)rəy
2618	2.1.3	Feline	cat / wildcat / tiger	*m/s-rwaŋ
2805	2.1.3	Feline	leopard	*g-zik
2308	2.1.3	Feline	tiger	*d-k(e/ə)y
6090	2.1.3	Feline	tiger	*pa
5560	2.1.3	Feline	tiger	*k-la
5702	2.1.3	Feline	tiger	*kwaŋ
5356	2.1.4	Lagomorphs	rabbit / hare	*tow-la
6072	2.1.4	Lagomorphs	donkey / ass / mule	*la
3629	2.1.5	Dragon	dragon / thunder	*m-bru(ŋ/k)
5604	2.1.6	Reptiles and Amphibians	turtle / tortoise	*k-lip
2178	2.1.6.1	Snake	insect / snake / vermin / bug	*bəw
6112	2.1.6.1	Snake	python	*g-lya(ŋ/k)
2623	2.1.6.1	Snake	snake	*s-b/m-ruːl
3504	2.1.6.1	Snake	snake	*hwam
2148	2.1.6.2	Frog/Toad	frog	*s-bal
645	2.1.6.2	Frog/Toad	frog	*t(u/i)k
2574	2.1.6.2	Frog/Toad	toad	*prwak
2653	2.1.6.3	Lizard	lizard	*r-saŋ
6104	2.1.6.3	Lizard	lizard	*g-riŋ
6105	2.1.6.3	Lizard	lizard	*kwa(k/ŋ)
6111	2.1.6.3	Lizard	lizard	*ki(ŋ/k)
1431	2.1.7	Equine	horse	*s/m-raŋ
5	2.1.7	Equine	horse	*r-ta
1432	2.1.7	Equine	donkey / ass / rabbit	*(b/g)waŋ
6087	2.1.7	Equine	mule	*ts(y/r)i
1226	2.1.8	Ovine and Hircine	goat / beard / goatee / yak-hair	*r-tsit
2306	2.1.8	Ovine and Hircine	goat	*(k/g)yal
6027	2.1.8	Ovine and Hircine	sheep	*luk
6028	2.1.8	Ovine and Hircine	sheep / yak	*g-ya(k/ŋ)
6029	2.1.8	Ovine and Hircine	goat	*d-ŋwa
6031	2.1.8	Ovine and Hircine	goat	*ra
6032	2.1.8	Ovine and Hircine	mountain goat / goat antelope / serow	*hya
1003	2.1.8	Ovine and Hircine	goat	*buŋ
6033	2.1.8	Ovine and Hircine	goat	*bi-ŋ 
6034	2.1.8	Ovine and Hircine	sheep	*s-gu
6037	2.1.8	Ovine and Hircine	goat	*nyu
6038	2.1.8	Ovine and Hircine	kid / sheep	*ri-k
6080	2.1.8	Ovine and Hircine	sheep	*səw
4769	2.1.8	Ovine and Hircine	goat	*mey
5602	2.1.8	Ovine and Hircine	sheep / goat	*tu
2462	2.1.9	Simian	monkey	*m(y/r)uk
2782	2.1.9	Simian	monkey	*b/g-woy-n
6049	2.1.9	Simian	monkey	*ywaŋ
2529	2.1.9	Simian	ape / monkey	*ŋaːw
1606	2.1.10	Fowl (i.e. Domestic Birds)	fowl / chicken	*k-rak
1604	2.1.10	Fowl (i.e. Domestic Birds)	bird	*daw
1600	2.1.10	Fowl (i.e. Domestic Birds)	bird / fowl / chicken	*haːr
5568	2.1.10	Fowl (i.e. Domestic Birds)	chicken	*kak
2527	2.1.10	Fowl (i.e. Domestic Birds)	goose	*ŋa-n
1764	2.1.11	Canine	dog	*d-kʷəy-n
6026	2.1.11	Canine	dog	*na
6053	2.1.11	Canine	wild dog / jackal / dhole / wolf	*s-k-ywal
2255	2.1.11	Canine	fox	*gwa
6051	2.1.11	Canine	wild dog	*s-pjaŋ
6043	2.1.11	Canine	wild dog / wolf	*m-par ~ *pra
999	2.1.11	Canine	(residue for dog)	-
2571	2.1.11.1	Bark (of dog)	bark (as dog)	*priŋ ~ *b-riŋ
2765	2.1.11.1	Bark (of dog)	howl / whine / bark	*wu
1790	2.1.11.1	Bark (of dog)	bark (v.)	*laŋ
6092	2.1.11.1	Bark (of dog)	bark (v.)	*haw(ŋ/k)
1792	2.1.11.1	Bark (of dog)	bark (v.)	*zu(k/ŋ)
1006	2.1.12	Porcine	pig	*pʷak
2257	2.2.1	Pachyderms	elephant	*m-gwi(y)
3317	2.2.1	Pachyderms	elephant	*s-ya
123	2.2.1	Pachyderms	rhinoceros	*b-sey
2739	2.2.2	Cervidae	antelope / sambar deer	*tswat
2313	2.2.2	Cervidae	barking deer / deer	*d-kəy
2794	2.2.2	Cervidae	deer (sambhur/sambar)	*d-yuk
2777	2.2.3	Ursine	bear (animal)	*d-wam
3442	2.2.4	Birds (in general)	bird	*s-ŋak
2187	2.2.4	Birds (in general)	bird / bee	*b(y/r)a
2279	2.2.4	Birds (in general)	crow (n.)	*ka-n
2346	2.2.4	Birds (in general)	dove / pigeon	*m-k(r)əw
2471	2.2.4	Birds (in general)	eagle, hawk	*s-məw
2393	2.2.4	Birds (in general)	falcon, vulture, eagle, kite, hawk, bird of prey	*g-la(ŋ/k)
3523	2.2.4	Birds (in general)	hawk	*hwar
2219	2.2.4	Birds (in general)	hawk / kite	*dzwan
2251	2.2.4	Birds (in general)	owl	*(g/k)u
2200	2.2.4	Birds (in general)	peacock	*m-dwaŋ
2610	2.2.4	Birds (in general)	pheasant / partridge	*s-rik ~ *s-ryak
7416	2.2.4.1	Particular birds	parrot / parakeet	*gyəy
5413	2.2.4.1	Particular birds	sparrow	*m-tsa
245	2.2.5	Fish and Mollusks	crab	*d-k(y)aːy ~ *d-k(y)an
2304	2.2.5	Fish and Mollusks	crab	*d-k(y)aːy
1455	2.2.5	Fish and Mollusks	fish	*s-ŋya
2340	2.2.5	Fish and Mollusks	shellfish	*kroy
6106	2.2.5	Fish and Mollusks	snail	*bwap
6107	2.2.5	Fish and Mollusks	snail	*k-ru ~ *k-rwa
6109	2.2.5	Fish and Mollusks	snail	*nyu
355	2.2.6	Insects, Arachnids, and Worms	butterfly	*pur ~ *pwar
357	2.2.6	Insects, Arachnids, and Worms	butterfly	*pur
360	2.2.6	Insects, Arachnids, and Worms	butterfly	*pwar
2631	2.2.6	Insects, Arachnids, and Worms	ant	*k/p/s-rwak
2370	2.2.6	Insects, Arachnids, and Worms	bee (dammer)	*k/gwaːy ~ *k/gwa
2778	2.2.6	Insects, Arachnids, and Worms	bee / honey	*was
302	2.2.6	Insects, Arachnids, and Worms	bee / wasp	*plyum
2331	2.2.6	Insects, Arachnids, and Worms	bug / ant / insect (lac) / cochineal	*s-kryap
2414	2.2.6	Insects, Arachnids, and Worms	flea	*s-ləy
2706	2.2.6	Insects, Arachnids, and Worms	fly (n.)	*m-tow
2788	2.2.6	Insects, Arachnids, and Worms	fly (n.) / bee	*s-b-(r/y)aŋ
2303	2.2.6	Insects, Arachnids, and Worms	grasshopper / locust	*kaw
2212	2.2.6	Insects, Arachnids, and Worms	insect / bug	*dyuŋ
2555	2.2.6	Insects, Arachnids, and Worms	leech	*k-r-pʷat
2408	2.2.6	Insects, Arachnids, and Worms	leech (water-, horse-)	*m-liːt
2609	2.2.6	Insects, Arachnids, and Worms	louse	*s-r(y)ik
2652	2.2.6	Insects, Arachnids, and Worms	louse	*s(y)ar
5432	2.2.6	Insects, Arachnids, and Worms	maggot / butterfly	*s-lu(k/ŋ)
2328	2.2.6	Insects, Arachnids, and Worms	mosquito	*kraŋ
2197	2.2.6	Insects, Arachnids, and Worms	scorpion / crab / shrimp	*s-diːk
5681	2.2.6	Insects, Arachnids, and Worms	spider	*m-gu
5400	2.2.6	Insects, Arachnids, and Worms	spider / spin / spindle	*k(w)aŋ ~ *pʷaŋ
2808	2.2.6	Insects, Arachnids, and Worms	worm	*zril
2146	2.2.7	Other Mammals	bat (animal)	*baːk
5635	2.2.7	Other Mammals	camel	*rŋa-mwaŋ
2595	2.2.7.1	Otter	otter	*sram
5909	2.2.7.1	Otter	otter	*phyam
6069	2.3	Associated Animal Terms	bit (for horse)	*s-rap
2250	2.4	Other Verbs Pertaining to Animals	crow / howl / screech / scream	*groy
2783	2.4	Other Verbs Pertaining to Animals	tend (grazing animals) / watch over	*w(u/i)l
6123	3.1	Plants	plant (n.) / tree	*dziŋ
314	3.1.1	Names of trees and shrubs	birch	*grwa
2620	3.1.1	Names of trees and shrubs	pine / fir	*m/s-r(a/o)w
2690	3.1.1	Names of trees and shrubs	pine / fir	*taŋ
2611	3.1.1	Names of trees and shrubs	rattan / cane	*ri(ː)m
2658	3.1.1	Names of trees and shrubs	tree / wood / firewood	*si(ŋ/k)
5593	3.1.1	Names of trees and shrubs	willow / poplar	*glaŋ
2549	3.1.2	Plant parts and types	bamboo	*r/g/s-pʷa
5664	3.1.2	Plant parts and types	bamboo	*ma
2477	3.1.2	Plant parts and types	cane / sprout	*s-m(y)ik
3605	3.1.2	Plant parts and types	ear / spike of grain	*s-nam
3566	3.1.2	Plant parts and types	fern / bracken	*m-da
647	3.1.2	Plant parts and types	ginger	*kyaŋ
2585	3.1.2	Plant parts and types	husks / shavings / chaff	*pwaːy
5360	3.1.2	Plant parts and types	indigo	*g-ram
2176	3.1.2	Plant parts and types	root / stump / tree	*(b/p)ul
5779	3.1.2	Plant parts and types	log / hunk of wood / section of something long	*tum ~ *dum
2358	3.1.2	Plant parts and types	tree / branch / stem	*kuːŋ
402	3.1.3	Leaves	leaf	*s-nas
293	3.1.3	Leaves	leaf / paper	*lay
5856	3.1.4	Seeds and flowers, nuts	barley (highland / tibetan)	*nas
2153	3.1.4	Seeds and flowers, nuts	bloom / flower	*baːr
5857	3.1.4	Seeds and flowers, nuts	buckwheat	*bra
2467	3.1.4	Seeds and flowers, nuts	bud	*muːm
2458	3.1.4	Seeds and flowers, nuts	bud / blossom / blossoming	*r-moy
2185	3.1.4	Seeds and flowers, nuts	flower	*b/s-wat
2463	3.1.4	Seeds and flowers, nuts	grain / seed / lineage	*(m/b)rəw
5904	3.1.4	Seeds and flowers, nuts	maize	*m-b(r)awŋ
5867	3.1.4	Seeds and flowers, nuts	millet / rice	*khrəy
2155	3.1.4	Seeds and flowers, nuts	pea / bean / small weight or coin	*bay
2179	3.1.4	Seeds and flowers, nuts	rice	*bu
5817	3.1.4	Seeds and flowers, nuts	rice / grain (crop)	*kuk
2445	3.1.4	Seeds and flowers, nuts	rice / paddy	*ma-y ~ *mey
3560	3.1.4	Seeds and flowers, nuts	seed	*li
3561	3.1.4	Seeds and flowers, nuts	seed	*yəw
2487	3.1.4	Seeds and flowers, nuts	sesame	*s-nam
5858	3.1.4	Seeds and flowers, nuts	wheat / buckwheat	*m-grwa
141	3.1.5	Fruits and vegetables	onion	*b-tsuŋ
5494	3.1.5	Fruits and vegetables	onion / garlic	*swa-n
5598	3.1.5	Fruits and vegetables	yam / taro	*m-n(w)ay
2526	3.1.5	Fruits and vegetables	plantain / banana	*s-ŋak
2381	3.1.5	Fruits and vegetables	yam	*kywəy
2592	3.1.5	Fruits and vegetables	taro / yam / tuber	*g/s-rwa
166	3.1.5	Fruits and vegetables	pumpkin / gourd	*maːy
6950	3.1.5	Fruits and vegetables	banana	*mow-t
5853	3.1.5	Fruits and vegetables	garlic / onion / chive	*s-g(r)aw-k
5375	3.1.6	Extracts and processed forms	vegetable	*r-tsaːl
3531	3.1.6	Extracts and processed forms	curry / vegetable dish	*h(y)an
3527	3.1.6	Extracts and processed forms	rice / curry	*h(w)aŋ
2798	3.1.6.3	Juices, beers, etc.	liquor	*yəw
5638	3.1.6.3	Juices, beers, etc.	liquor	*m-dzəy
2202	3.1.6.3	Juices, beers, etc.	poison	*(d/t)uk
3555	3.1.6.3	Juices, beers, etc.	poison	*pʷu
3328	3.1.7	Fungi	mushroom / fungus	*g-r(u/i)n
2472	3.1.7	Fungi	mushroom / fungus	*g/s-məw
666	3.1.8	Other wild plants	grass	*r-tswa-n
5642	3.1.8	Other wild plants	grass	*s-yəy
2460	3.1.8	Other wild plants	grass / weeds	*m(r)(u/a)k
2417	3.1.9	Vegetative/Agricultural activity	field	*low
5837	3.1.9	Vegetative/Agricultural activity	field / plain	*C-ta(m/p)
5836	3.1.9	Vegetative/Agricultural activity	plain / flatland	*thaŋ
5672	3.1.9	Vegetative/Agricultural activity	plant (v.) / paddy field	*di
5384	3.1.10	Verbs involving plants	plant	*(g/k)ay
2449	3.1.10	Verbs involving plants	ripe / cooked / delicious	*s-min
5407	3.1.10	Verbs involving plants	rot / spotted / write	*m-bup
3529	3.1.10	Verbs involving plants	wither / fade	*hwaːy
2473	3.2.1	Weather and seasons	sky / heavens / clouds	*r-məw
5558	3.2.1	Weather and seasons	thunderbolt / lightning	*glyaːk
5656	3.2.1	Weather and seasons	cloud	*s-dim
4758	3.2.1	Weather and seasons	cloud / fog	*mway
2374	3.2.1	Weather and seasons	cold / snow / ice	*kyam
59	3.2.1	Weather and seasons	dew	*(d)zil
2465	3.2.1	Weather and seasons	foggy / dark / sullen / menacing / thunder	*muːŋ ~ *r/s-muːk
5898	3.2.1	Weather and seasons	freeze / snow	*r-p(w)am
3565	3.2.1	Weather and seasons	frost / ice	*s-ŋar
2638	3.2.1	Weather and seasons	hail	*ryal
671	3.2.1	Weather and seasons	hail / sleet	*syar
5897	3.2.1	Weather and seasons	ice / snow	*m-ka(ŋ)
352	3.2.1	Weather and seasons	lightning / flash / glitter / butterfly	*s-lyap
3571	3.2.1	Weather and seasons	rain	*m/s-raŋ
5902	3.2.1	Weather and seasons	rain (n.)	*tshyar
6000	3.2.1	Weather and seasons	rainbow	*m-dzya
6002	3.2.1	Weather and seasons	rainbow	*twaŋ
6003	3.2.1	Weather and seasons	rainbow	*laŋ
6004	3.2.1	Weather and seasons	rainbow	*si
6006	3.2.1	Weather and seasons	rainbow	*s/m-kwa
6007	3.2.1	Weather and seasons	rainbow	*dzyaŋ
6009	3.2.1	Weather and seasons	rainbow	*du(n)
6011	3.2.1	Weather and seasons	rainbow	*sa(k/ŋ)
6013	3.2.1	Weather and seasons	rainbow	*kam
6014	3.2.1	Weather and seasons	rainbow	*s-la
5448	3.2.1	Weather and seasons	rainy season	*zuːr
3554	3.2.1	Weather and seasons	snow / ice / frost / hail	*s-pʷal
2412	3.2.1	Weather and seasons	wind (n.)	*g-ləy
6128	3.2.1	Weather and seasons	wind (n.)	*buŋ
85	3.2.2	Planets/Meteorological objects/Sky	sun / day / dwell	*s-nəy
1016	3.2.2	Planets/Meteorological objects/Sky	moon / month	*s/g-la
3574	3.2.2	Planets/Meteorological objects/Sky	scatter / sow / dispersed widely / wide / star	*g(r/l)aːy 
2484	3.2.2	Planets/Meteorological objects/Sky	sun / sky	*g-nam
2300	3.2.2	Planets/Meteorological objects/Sky	star	*s-kar
697	3.2.2	Planets/Meteorological objects/Sky	heavens / sky / sun	*m-ka-n
3577	3.2.2	Planets/Meteorological objects/Sky	star / moon	*s-ŋʷ(y)a-t
3575	3.2.2	Planets/Meteorological objects/Sky	star	*swar
6225	3.2.2	Planets/Meteorological objects/Sky	sun / sunshine	*r(i/u)ŋ
5404	3.2.2	Planets/Meteorological objects/Sky	moon / moonlight	*krəy
3583	3.2.3	Water and other liquids	wave (in water) / ripple	*r/m-ba
5806	3.2.3	Water and other liquids	steam / hot (liquid)	*r-la(w)ŋ
5877	3.2.3	Water and other liquids	wave	*r-labs
5878	3.2.3	Water and other liquids	wave / billow	*k-ləw(ŋ/k)
2536	3.2.4	Elements, metals, alloys	silver	*d-ŋul
5519	3.2.4	Elements, metals, alloys	silver	*mul
2247	3.2.4	Elements, metals, alloys	copper	*grəy
2673	3.2.4	Elements, metals, alloys	iron	*syaːl ~ *syiːr
2676	3.2.4	Elements, metals, alloys	iron	*syam
6365	3.2.4	Elements, metals, alloys	iron / iron instrument	*l-tsyak
2299	3.2.4	Elements, metals, alloys	lead / bronze	*kar
5442	3.2.4	Elements, metals, alloys	rust / dross / stain / excrement	*(t)swa-y ~ *t(s)wa-y
5397	3.2.4	Elements, metals, alloys	salty	*hyam
2322	3.2.5	Landforms and geographical features	valley / river	*kl(y)u(ŋ/k)
6093	3.2.5	Landforms and geographical features	jungle / forest / country / field	*ram
3581	3.2.5	Landforms and geographical features	mountain / ridge / hill	*s-gaŋ
6076	3.2.5	Landforms and geographical features	mountain	*ri
