No.	Gloss	Proto-Palaungic
607.	pointed	*pa/ɤc
608.	pick, gather	*pɛh
609.	mortar	*pal
610.	wrap	*par
611.	hit, slap	*pɔːh
612.	calf of leg	*pɔːs
613.	rub, smear	*pɔːt
614.	bamboo	*cəpɔːʔ
615.	tuber	*pɔŋ
616.	grind, pound	*pe/ih
617.	you (plural)	*pɛʔ
618.	father-in-law, uncle	*pɤːʔ
619.	open	*pɤh
620.	break (intr.)	*pɤk
621.	woman	*pɤn
622.	shoot	*pɤɲ
623.	fly	*pɤr
624.	pick, pinch	*pɤt
625.	tooth	*piɛŋ
626.	winnowing tray	*piɛr
627.	squeeze	*piɛt
628.	pumpkin	*-piːr
629.	broom	*-piːs
630.	sweep	*piːs
631.	flower	*po/uːh
632.	shadow	*-poːj
633.	four	*poːn
634.	barking deer	*poːs
635.	break, snap	*poːt
636.	take out with hand	*poːɁ
637.	dream	*-mpoːʔ
638.	bridge	*-puk
639.	hill	*puk
640.	bury	*kərpuːŋ
641.	undress	*puːc
642.	bamboo rat	*kəpuːj
643.	seven	*təpuːl
644.	blow	*puːt
645.	spread out (to dry)	*raːj
646.	termite	*raːk
647.	shout, call out	*raːk
648.	borrow, lend	*ra(ː)m
649.	decay	*raːm
650.	flower	*raːŋ
651.	light	*raːŋ
652.	scatter	*raj
653.	take, catch	*rap
654.	drop off	*ras
655.	choose	*ras
656.	sky	*-raw
657.	steal	*-raʔ
658.	intestines	*rɔːc
659.	leak, drip	*rɔːc
660.	sharpen	*rɔːc
661.	bark	*-rɔːh
662.	mole (on skin)	*rɔːj
663.	housefly	*rɔːj
664.	borrow	*rɔ(ː)m
665.	gather	*rɔːm
666.	ditch, channel	*rɔːŋ
667.	sprinkle	*-rɔːs
668.	tighten (knot, rope)	*rɔːt
669.	get up	*rɔj
670.	frog	*rɔk
671.	post, pole	*-rɔŋ
672.	wall	*rɔŋ
673.	wrap	*-rɔp
674.	pestle	*-reʔ
675.	pull out	*rɤc
676.	search	*rɤh
677.	horn	*-rɤŋ
678.	study, learn	*riɛn
679.	wasp	*-riɛŋ
680.	root	*riɛs
681.	grass	*riːp
682.	cricket	*-riːt
683.	pour	*-ruːk
684.	forest	*ru/oːk
685.	drizzle	*ruːj
686.	together	*ruːm
687.	fishing net	*ruːp
688.	turtle	*ruːs
689.	shrink, tighten	*ruːt
690.	village	*-ruʔ
691.	steal	*-braːɁ
692.	portion of food	*braːʔ
693.	plague	*braɲ
694.	maggot	*breʔ
695.	ladle	*brɤk
696.	forest	*briːʔ
697.	sky	*briːʔ
698.	tall, high	*ɟərɔŋ
699.	skinny	*ɟreːl
700.	gold	*criːl
701.	fig, Ficus	*ɟriːʔ
702.	deep	*ɟruːʔ
703.	scales	*g/kriɛk
704.	grind	*griːt
705.	knee	*groːŋ
706.	maggot	*ʰraːc
707.	itch	*ʰraw
708.	bamboo	*ʰrɤŋ
709.	seize	*ʰriːm
710.	drink	*ʰruːp
711.	grind, nash	*kra/əc
712.	veranda	*kraːs
713.	road, way	*kraːʔ
714.	back	*krɔːŋ
715.	bear	*kreːs
716.	break, collapse	*krɤp
717.	count	*krɤs
718.	apply, smear on	*kriːʔ
719.	granary	*kroːr
720.	drum	*kruːŋ
721.	under	*kruːm
722.	rake	*kruːs
723.	horse	*mraŋ
724.	body louse	*mrɤɲ
725.	ant/termite	*ŋruːɲ
726.	mosquito	*-praːŋ
727.	depart	*praːs
728.	sparrow	*pərac
