No.	Gloss	Proto-Pakanic	Pre-Pakanic	Bolyu	Bugan (Nala)	Bugan (Manlong)
25	eat, to	*tsɔʔ	< *cɔʔ	tsɔ3	tso̱u³¹	tsṵ³¹
26	cook, to	*taŋ		taŋ3	taŋ³¹	taŋ³¹
27	bite, to	*canʔ	< *camʔ	tɕən5	tsa̱¹³	tɕa̱²⁴
28	ear	*caːiʔ		lɔ6tɕjaːi3	pə⁵⁵tsɛ³⁵	pɯ⁵⁵tɕɛ̱²⁴
29	eye	*mat		ɬaːi5mat8	pə⁵⁵mɛ̱³³	pɯ⁵⁵mɛ̱³¹
30	sleep, to	*ɲaŋʔ		ɲəŋ4	naŋ³³	na̱ŋ⁴⁴
31	dream	*boː		paːu2	mbo³¹	mbo³¹
32	sit, to	*ɲam		ʑam5	ɲa³³	ɲa⁴⁴
33	stand, to	*ɲɔʔ		nau2	ɲɔ̱⁵⁵/¹³	ɲo̱³¹
34	male; man	*pauʔ		qa0puɔ3	pə⁵⁵pau⁵⁵	pɯ⁴⁴po̱u³¹
35	female; woman	*mau		qa0muɔ4	pə⁵⁵mou³³	pɯ⁴⁴mou⁴⁴
36	house	*ɲɔʔ		ɲɔ2	ɲu⁵⁵	ɲo̱u⁵⁵
37	name	*maŋ		mi6	pə⁵⁵maŋ³³	maŋ³¹
38	rope	*caʔ		tɕʰɔ6ʔɔ5	tɕa³³	tɕa̱⁴⁴
39	needle	*gaːp		qaːp8	ŋga̱⁵⁵	ŋga²⁴
40	hunt, to	*ɕuʔ		tsi4hu1	tsɔ̱³¹ɕɔ̱³⁵	dou⁴⁴ɕua̱²⁴
41	shoot, to	*taŋʔ		tɯ2	taŋ³¹	te̱i²⁴
42	pound, to	*tan	< *tam	tan5	tɑn³⁵	ten²⁴
43	throw, to	*vaŋ		vəŋ2	pʰan³¹	pʰen³¹
44	fall, to	*lat		lat8	la̱i⁵⁵	lɛ̱i³¹
45	dog	*tsɔ	< *cɔ	tsu5	tsau³³	tsau⁴⁴
46	bird	*sanʔ		san5	sau³³	sa̱u⁴⁴
47	egg	*tʰam		tʰam1	tʰam³³	tʰen⁵⁵
48	wing	*kaŋ		qaŋ3	kaŋ⁵⁵mba̱n³⁵	kaŋ⁵⁵
49	meat	*ɕjo	< *cjo	ɕjɔ5	ɕu³³	ɕou⁴⁴
50	oil	*ɲi		ɲi4	ɲi³³	ɲi⁴⁴
51	louse	*ben		pi5	mban³³	mbɛn⁴⁴
52	mosquito	*ɲau		ɕaːp7ʑau5	ɲa³¹	ɲua³¹
53	fish	*kɔ		qɔ5	se⁵⁵qou³³	ɕi̱³¹kou⁴⁴
54	leaf	*lɔʔ		lɔ6ʔɔ5	lo̱u¹³	lo̱u²⁴
55	root	*ɣiʔ	< *riʔ	ʑi6	ɣa̱ɯ¹³	ɣɯ²⁴
56	water	*ɗa		nde5	da³⁵	nda²⁴
57	salt	*mjaːn		mjaːn1	mia³¹	mja³¹
58	sky	*kɔ		qɔ3	pə⁰qou⁵⁵	pu⁴⁴ku⁴⁴
59	month	*maːi		maːi1	mai⁵⁵	mei⁴⁴
60	star	*bɔʔ		pau4	bɔ⁵⁵mo³³	mbo̱⁴⁴mo⁴⁴
61	rain	*kʰɔ		qɔ3muɔ2; nde5qo3	kʰou³⁵	kʰau⁵⁵
62	wind	*tʰaŋ		qa3təŋ3	tʰaŋ³⁵	tʰaŋ⁵⁵
63	heavy	*maːiʔ		maːi1	mo̱³¹	mo̱³¹
64	light	*taːnʔ		taːn4	ndɑ̱³³	nda̱⁴⁴
65	smoke	*kui		se5kui5	kui³³	kui⁴⁴
66	ash	*ɓouʔ		mbai3	bo̱u³¹se³¹	mbo̱u³¹
67	big	*tʰɔ		tʰau1	tʰɔ³¹	tʰo³¹
68	thin	*lap		lap10	la̱⁵⁵	lã̱³¹
69	thick	*man		man1	mən³¹	mən³¹
70	narrow	*kɔŋ		kɔŋ3	kʰy⁵⁵	kʰui⁴⁴
71	sick	*ku		qu3	kɔ³¹	ko³¹
72	good	*laːɯ		laːu2	lɯ³¹	lɯ³¹
73	night	*paːiʔ		qa4paːi5	po⁵⁵	po̱³¹
74	daytime	*han		qa3han1	o³³hɛ⁵⁵	ɯ⁴⁴hɛ⁵⁵
75	year	*namʔ		nam1	nam⁵⁵	he̱i³¹
76	this	*ni		ni3	ni³³	nei⁴⁴
77	that	*ɗɔʔ		ndɯ3	dɔ̱¹³	
78	near	*ta		to3	ta³¹	dã³¹
79	I	*ʔoːʔ		ʔaːu3	ɔ³¹	o̱³¹
80	you (sg.)	*mɯ		mi2	mɯ³¹	mɯ³¹
81	he/she	*ʔi		ʔi3	i³¹	i³¹
82	we (excl.)	*pai		pai3	pɛ³¹	pɛ³¹
83	you (pl.)	*maːi		maːi2	mi³¹	mei³¹
84	who?	*ɓai		mbai5	bɛ³⁵	mbɛ²⁴
85	one	*mo		mə2	mə⁵⁵; bɔ⁵⁵	bo⁴⁴
86	two	*ɓi		mbi3	biɔ³¹; bi³¹	mbjo³¹
87	three	*paːi		paːi3	ptse³¹	pi³¹
88	four	*puːn		puːn5	pau³³	pau⁴⁴
89	five	*mi		me4	mi³³	mi⁴⁴
90	six	*pjuʔ	< *pruʔ	piu5	pi̱o³³	pjo̱³¹
91	seven	*peiʔ		pei3	po̱u³¹	po̱u³¹
92	eight	*saːmʔ		saːm5	sã³³	sa̱⁴⁴
